scope,mean_waiting_error_percent,mean_response_error_percent
reference:md1,2.7408787063941262,1.0569482166183517
reference:mgc,4.4537762349486485,3.0317506829233474
reference:mm1,3.076425393197043,2.316975828322201
simulator:mm1,3.7475055555555548,3.1158400000000017
reference:mmc,6.466579921583289,4.0355981121899465
reference:overall,4.132035926035949,2.621642122598812
simulator:overall,3.7475055555555548,3.1158400000000017
