stage,stage_name,workers,objects,input_stage_seconds,input_compression_seconds,input_hash_seconds,input_crypto_seconds,application_seconds,output_stage_seconds,output_compression_seconds,output_hash_seconds,output_crypto_seconds,total_seconds,input_requirement_1,input_requirement_1_seconds,input_requirement_2,input_requirement_2_seconds,input_requirement_3,input_requirement_3_seconds,output_requirement_1,output_requirement_1_seconds,output_requirement_2,output_requirement_2_seconds,output_requirement_3,output_requirement_3_seconds
1,stage1,2,100,0.000000,0.000000,0.000000,0.000000,225.749207,145.838654,72.919327,72.919327,0.000000,371.587861,,0.000000,,0.000000,,0.000000,hash_calculate:SHA256,72.919327,compress:ZLIB,72.919327,,0.000000
2,stage2,2,100,145.838654,72.919327,72.919327,0.000000,75.175385,145.838660,0.000000,72.919333,72.919327,366.852699,uncompress:ZLIB,72.919327,hash_verify:SHA256,72.919327,,0.000000,encrypt:RS,72.919327,hash_calculate:BLAKE3,72.919333,,0.000000
3,stage3,2,100,145.838660,0.000000,72.919321,72.919339,120.501183,218.757975,72.919309,72.919321,72.919345,485.097818,hash_verify:BLAKE3,72.919321,unencrypt:RS,72.919339,,0.000000,compress:LZ4,72.919309,encrypt:RS,72.919345,hash_calculate:SHA3_256,72.919321
4,stage4,2,100,218.757987,72.919321,72.919345,72.919321,123.751595,72.919321,0.000000,72.919321,0.000000,415.428903,hash_verify:SHA3_256,72.919345,unencrypt:RS,72.919321,uncompress:LZ4,72.919321,hash_calculate:SHA256,72.919321,,0.000000,,0.000000
