stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,2,0.365539,0.182769,451.498413,225.749207
1,stage1,output,0,hash_calculate,SHA256,2,0.109760,0.054880,145.838654,72.919327
1,stage1,output,1,compress,ZLIB,2,0.123871,0.061935,145.838654,72.919327
1,stage1,combined,-1,combined,,6,0.599170,0.099862,743.175721,123.862620
2,stage2,input,0,uncompress,ZLIB,2,0.116004,0.058002,145.838654,72.919327
2,stage2,input,1,hash_verify,SHA256,2,0.124114,0.062057,145.838654,72.919327
2,stage2,application,0,application,,2,0.126036,0.063018,150.350770,75.175385
2,stage2,output,0,encrypt,RS,2,0.125241,0.062621,145.838654,72.919327
2,stage2,output,1,hash_calculate,BLAKE3,2,0.123287,0.061643,145.838666,72.919333
2,stage2,combined,-1,combined,,10,0.614682,0.061468,733.705398,73.370540
3,stage3,input,0,hash_verify,BLAKE3,2,0.124223,0.062111,145.838642,72.919321
3,stage3,input,1,unencrypt,RS,2,0.131716,0.065858,145.838678,72.919339
3,stage3,application,0,application,,2,0.117046,0.058523,241.002366,120.501183
3,stage3,output,0,compress,LZ4,2,0.122273,0.061137,145.838618,72.919309
3,stage3,output,1,encrypt,RS,2,0.118559,0.059279,145.838690,72.919345
3,stage3,output,2,hash_calculate,SHA3_256,2,0.119349,0.059674,145.838642,72.919321
3,stage3,combined,-1,combined,,12,0.733167,0.061097,970.195636,80.849636
4,stage4,input,0,hash_verify,SHA3_256,2,0.134993,0.067497,145.838690,72.919345
4,stage4,input,1,unencrypt,RS,2,0.125896,0.062948,145.838642,72.919321
4,stage4,input,2,uncompress,LZ4,2,0.121175,0.060587,145.838642,72.919321
4,stage4,application,0,application,,2,0.130645,0.065323,247.503190,123.751595
4,stage4,output,0,hash_calculate,SHA256,2,0.145260,0.072630,145.838642,72.919321
4,stage4,combined,-1,combined,,10,0.657969,0.065797,830.857806,83.085781
