stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.546868,0.068359,428.011790,53.501474
1,stage1,output,0,hash_calculate,SHA256,8,0.564421,0.070553,134.030121,16.753765
1,stage1,output,1,compress,ZLIB,8,0.668334,0.083542,133.634626,16.704328
1,stage1,combined,-1,combined,,24,1.779623,0.074151,695.676537,28.986522
2,stage2,input,0,uncompress,ZLIB,8,0.739741,0.092468,133.634626,16.704328
2,stage2,input,1,hash_verify,SHA256,8,0.816145,0.102018,133.634622,16.704328
2,stage2,application,0,application,,8,0.798574,0.099822,155.965508,19.495689
2,stage2,output,0,encrypt,RS,8,0.722765,0.090346,133.634627,16.704328
2,stage2,output,1,hash_calculate,BLAKE3,8,0.706491,0.088311,133.634609,16.704326
2,stage2,combined,-1,combined,,40,3.783716,0.094593,690.503991,17.262600
3,stage3,input,0,hash_verify,BLAKE3,8,0.728285,0.091036,137.003973,17.125497
3,stage3,input,1,unencrypt,RS,8,0.749685,0.093711,137.095950,17.136994
3,stage3,application,0,application,,8,0.784188,0.098024,214.281050,26.785131
3,stage3,output,0,compress,LZ4,8,0.800082,0.100010,133.634606,16.704326
3,stage3,output,1,encrypt,RS,8,0.703222,0.087903,133.634645,16.704331
3,stage3,output,2,hash_calculate,SHA3_256,8,0.691218,0.086402,133.634604,16.704325
3,stage3,combined,-1,combined,,48,4.456680,0.092848,889.284828,18.526767
4,stage4,input,0,hash_verify,SHA3_256,8,0.670058,0.083757,133.634609,16.704326
4,stage4,input,1,unencrypt,RS,8,0.651155,0.081394,133.634609,16.704326
4,stage4,input,2,uncompress,LZ4,8,0.608974,0.076122,133.634634,16.704329
4,stage4,application,0,application,,8,0.586655,0.073332,219.950435,27.493804
4,stage4,output,0,hash_calculate,SHA256,8,0.582086,0.072761,133.634640,16.704330
4,stage4,combined,-1,combined,,40,3.098928,0.077473,754.488926,18.862223
