stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.554789,0.069349,865.649799,108.206225
1,stage1,output,0,hash_calculate,SHA256,8,0.578497,0.072312,436.993678,54.624210
1,stage1,output,1,compress,ZLIB,8,0.565815,0.070727,234.069446,29.258681
1,stage1,combined,-1,combined,,24,1.699102,0.070796,1536.712923,64.029705
2,stage2,input,0,uncompress,ZLIB,8,0.575025,0.071878,221.984717,27.748090
2,stage2,input,1,hash_verify,SHA256,8,0.586790,0.073349,436.993619,54.624202
2,stage2,application,0,application,,8,0.577377,0.072172,572.783593,71.597949
2,stage2,output,0,encrypt,RS,8,0.581025,0.072628,523.350594,65.418824
2,stage2,output,1,hash_calculate,BLAKE3,8,0.593314,0.074164,522.789965,65.348746
2,stage2,combined,-1,combined,,40,2.913530,0.072838,2277.902488,56.947562
3,stage3,input,0,hash_verify,BLAKE3,8,0.567212,0.070902,522.790014,65.348752
3,stage3,input,1,unencrypt,RS,8,0.622947,0.077868,523.350531,65.418816
3,stage3,application,0,application,,8,0.623584,0.077948,662.846793,82.855849
3,stage3,output,0,compress,LZ4,8,0.657456,0.082182,268.135296,33.516912
3,stage3,output,1,encrypt,RS,8,0.694428,0.086803,135.114677,16.889335
3,stage3,output,2,hash_calculate,SHA3_256,8,0.662771,0.082846,135.123486,16.890436
3,stage3,combined,-1,combined,,48,3.828398,0.079758,2247.360797,46.820017
4,stage4,input,0,hash_verify,SHA3_256,8,0.625299,0.078162,135.123486,16.890436
4,stage4,input,1,unencrypt,RS,8,0.618125,0.077266,135.114677,16.889335
4,stage4,input,2,uncompress,LZ4,8,0.569043,0.071130,267.846132,33.480767
4,stage4,application,0,application,,8,0.563177,0.070397,606.554384,75.819298
4,stage4,output,0,hash_calculate,SHA256,8,0.535893,0.066987,316.094013,39.511752
4,stage4,combined,-1,combined,,40,2.911537,0.072788,1460.732692,36.518317
