stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.589283,0.073660,425.661341,53.207668
1,stage1,output,0,hash_calculate,SHA256,8,0.610835,0.076354,135.654453,16.956807
1,stage1,output,1,compress,ZLIB,8,0.640502,0.080063,134.863458,16.857932
1,stage1,combined,-1,combined,,24,1.840620,0.076693,696.179252,29.007469
2,stage2,input,0,uncompress,ZLIB,8,0.640282,0.080035,134.863456,16.857932
2,stage2,input,1,hash_verify,SHA256,8,0.627155,0.078394,135.654453,16.956807
2,stage2,application,0,application,,8,0.620025,0.077503,170.077232,21.259654
2,stage2,output,0,encrypt,RS,8,0.635574,0.079447,136.480339,17.060042
2,stage2,output,1,hash_calculate,BLAKE3,8,0.634246,0.079281,136.428140,17.053518
2,stage2,combined,-1,combined,,40,3.157282,0.078932,713.503619,17.837590
3,stage3,input,0,hash_verify,BLAKE3,8,0.661531,0.082691,136.428171,17.053521
3,stage3,input,1,unencrypt,RS,8,0.669891,0.083736,136.480339,17.060042
3,stage3,application,0,application,,8,0.686370,0.085796,196.699404,24.587426
3,stage3,output,0,compress,LZ4,8,0.699075,0.087384,134.863442,16.857930
3,stage3,output,1,encrypt,RS,8,0.637297,0.079662,134.863447,16.857931
3,stage3,output,2,hash_calculate,SHA3_256,8,0.673540,0.084192,134.863447,16.857931
3,stage3,combined,-1,combined,,48,4.027703,0.083910,874.198250,18.212464
4,stage4,input,0,hash_verify,SHA3_256,8,0.647738,0.080967,134.863447,16.857931
4,stage4,input,1,unencrypt,RS,8,0.637721,0.079715,134.863444,16.857931
4,stage4,input,2,uncompress,LZ4,8,0.624292,0.078037,134.863472,16.857934
4,stage4,application,0,application,,8,0.611216,0.076402,232.396699,29.049587
4,stage4,output,0,hash_calculate,SHA256,8,0.564105,0.070513,134.863478,16.857935
4,stage4,combined,-1,combined,,40,3.085072,0.077127,771.850540,19.296264
