stage,stage_name,workers,objects,input_stage_seconds,input_compression_seconds,input_hash_seconds,input_crypto_seconds,application_seconds,output_stage_seconds,output_compression_seconds,output_hash_seconds,output_crypto_seconds,total_seconds,input_requirement_1,input_requirement_1_seconds,input_requirement_2,input_requirement_2_seconds,input_requirement_3,input_requirement_3_seconds,output_requirement_1,output_requirement_1_seconds,output_requirement_2,output_requirement_2_seconds,output_requirement_3,output_requirement_3_seconds
1,stage1,8,100,0.000000,0.000000,0.000000,0.000000,50.132206,35.705684,17.852842,17.852842,0.000000,85.837890,,0.000000,,0.000000,,0.000000,hash_calculate:SHA256,17.852842,compress:ZLIB,17.852842,,0.000000
2,stage2,8,100,35.705684,17.852842,17.852842,0.000000,18.911709,35.705681,0.000000,17.852839,17.852842,90.323074,uncompress:ZLIB,17.852842,hash_verify:SHA256,17.852842,,0.000000,encrypt:RS,17.852842,hash_calculate:BLAKE3,17.852839,,0.000000
3,stage3,8,100,35.705687,0.000000,17.852845,17.852842,22.418676,53.558517,17.852839,17.852839,17.852839,111.682880,hash_verify:BLAKE3,17.852845,unencrypt:RS,17.852842,,0.000000,compress:LZ4,17.852839,encrypt:RS,17.852839,hash_calculate:SHA3_256,17.852839
4,stage4,8,100,53.558529,17.852845,17.852839,17.852845,25.706516,17.852845,0.000000,17.852845,0.000000,97.117891,hash_verify:SHA3_256,17.852839,unencrypt:RS,17.852845,uncompress:LZ4,17.852845,hash_calculate:SHA256,17.852845,,0.000000,,0.000000
