stage,stage_name,workers,objects,input_stage_seconds,input_compression_seconds,input_hash_seconds,input_crypto_seconds,application_seconds,output_stage_seconds,output_compression_seconds,output_hash_seconds,output_crypto_seconds,total_seconds,input_requirement_1,input_requirement_1_seconds,input_requirement_2,input_requirement_2_seconds,input_requirement_3,input_requirement_3_seconds,output_requirement_1,output_requirement_1_seconds,output_requirement_2,output_requirement_2_seconds,output_requirement_3,output_requirement_3_seconds
1,stage1,4,100,0.000000,0.000000,0.000000,0.000000,134.289368,74.507028,37.253514,37.253514,0.000000,208.796396,,0.000000,,0.000000,,0.000000,hash_calculate:SHA256,37.253514,compress:ZLIB,37.253514,,0.000000
2,stage2,4,100,74.507028,37.253514,37.253514,0.000000,43.465919,74.507031,0.000000,37.253517,37.253514,192.479978,uncompress:ZLIB,37.253514,hash_verify:SHA256,37.253514,,0.000000,encrypt:RS,37.253514,hash_calculate:BLAKE3,37.253517,,0.000000
3,stage3,4,100,76.154932,0.000000,38.066196,38.088736,66.730492,111.760539,37.253517,37.253511,37.253511,254.645963,hash_verify:BLAKE3,38.066196,unencrypt:RS,38.088736,,0.000000,compress:LZ4,37.253517,encrypt:RS,37.253511,hash_calculate:SHA3_256,37.253511
4,stage4,4,100,111.760545,37.253523,37.253511,37.253511,68.522552,37.253523,0.000000,37.253523,0.000000,217.536620,hash_verify:SHA3_256,37.253511,unencrypt:RS,37.253511,uncompress:LZ4,37.253523,hash_calculate:SHA256,37.253523,,0.000000,,0.000000
