algoritmo,size_mb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
BZ2,10,16,1878.50x,6.549812,0.003292,0.003036,0.000089,0.000019,0.159943
BZ2,10,17,1878.50x,6.538279,0.003425,0.003048,0.000079,0.000019,0.160498
BZ2,10,18,1878.50x,6.522111,0.003377,0.002940,0.000079,0.000020,0.158177
BZ2,10,19,1878.50x,6.555471,0.003260,0.003086,0.000079,0.000019,0.164557
BZ2,10,20,1878.50x,6.536312,0.003355,0.003018,0.000078,0.000020,0.159300
BZ2,10,21,1878.50x,6.523036,0.003438,0.002926,0.000078,0.000019,0.158856
BZ2,10,22,1878.50x,6.557974,0.003285,0.003071,0.000079,0.000019,0.160224
BZ2,10,23,1878.50x,6.533213,0.003332,0.003085,0.000080,0.000018,0.159524
BZ2,10,24,1878.50x,6.525221,0.003430,0.002876,0.000083,0.000019,0.159394
BZ2,10,25,1878.50x,6.557956,0.003343,0.003013,0.000082,0.000018,0.159985
BZ2,10,26,1878.50x,6.535002,0.003366,0.003052,0.000078,0.000018,0.166125
BZ2,10,27,1878.50x,6.523648,0.003765,0.003249,0.000079,0.000019,0.157530
BZ2,10,28,1878.50x,6.554793,0.003308,0.002987,0.000082,0.000018,0.159676
BZ2,10,29,1878.50x,6.540203,0.003443,0.003034,0.000080,0.000019,0.160592
BZ2,10,30,1878.50x,6.521001,0.003373,0.002963,0.000082,0.000020,0.159014
BZ2,10,31,1878.50x,6.558421,0.003255,0.003045,0.000080,0.000019,0.160320
BZ2,50,1,1917.59x,34.059053,0.017596,0.017640,0.000118,0.000026,0.815555
BZ2,50,2,1917.59x,34.057144,0.017727,0.018700,0.000094,0.000024,0.854203
BZ2,50,3,1917.59x,34.036353,0.015562,0.017623,0.000102,0.000025,0.849371
BZ2,50,4,1917.59x,34.093961,0.017133,0.017503,0.000088,0.000025,0.842971
BZ2,50,5,1917.59x,34.085034,0.016691,0.017535,0.000098,0.000024,0.839495
BZ2,50,6,1917.59x,34.123981,0.017461,0.017904,0.000104,0.000026,0.841900
BZ2,50,7,1917.59x,34.205568,0.017657,0.018430,0.000096,0.000028,0.840318
BZ2,50,8,1917.59x,34.249924,0.017221,0.018299,0.000098,0.000024,0.844545
BZ2,50,9,1917.59x,34.245595,0.016718,0.018192,0.000104,0.000026,0.854711
BZ2,50,10,1917.59x,34.410280,0.016289,0.017473,0.000094,0.000024,0.838166
BZ2,50,11,1917.59x,34.439142,0.017472,0.017822,0.000101,0.000024,0.847994
BZ2,50,12,1917.59x,34.430122,0.017310,0.018063,0.000099,0.000025,0.849671
BZ2,50,13,1917.59x,34.481624,0.017549,0.018215,0.000098,0.000027,0.847600
BZ2,50,14,1917.59x,34.532809,0.017307,0.018362,0.000097,0.000026,0.857837
BZ2,50,15,1917.59x,34.524294,0.016610,0.017905,0.000102,0.000025,0.859690
BZ2,50,16,1917.59x,34.645855,0.016968,0.017726,0.000096,0.000028,0.861578
BZ2,50,17,1917.59x,34.713069,0.017103,0.017979,0.000095,0.000024,0.862179
BZ2,50,18,1917.59x,34.689128,0.017172,0.018292,0.000106,0.000024,0.871114
BZ2,50,19,1917.59x,34.765762,0.016439,0.017920,0.000097,0.000026,0.861499
BZ2,50,20,1917.59x,34.780537,0.017294,0.017945,0.000097,0.000025,0.860886
BZ2,50,21,1917.59x,34.764962,0.016098,0.017458,0.000098,0.000026,0.856631
BZ2,50,22,1917.59x,34.876202,0.017379,0.018063,0.000099,0.000026,0.858950
BZ2,50,23,1917.59x,34.848661,0.017316,0.018102,0.000104,0.000026,0.869680
BZ2,50,24,1917.59x,34.876841,0.015957,0.017741,0.000097,0.000025,0.877917
BZ2,50,25,1917.59x,35.037781,0.015821,0.017425,0.000104,0.000025,0.857710
BZ2,50,26,1917.59x,35.072985,0.015558,0.017141,0.000103,0.000026,0.864229
BZ2,50,27,1917.59x,35.041703,0.015405,0.018161,0.000097,0.000028,0.873803
BZ2,50,28,1917.59x,35.115031,0.015675,0.017623,0.000095,0.000029,0.874796
BZ2,50,29,1917.59x,34.962253,0.015556,0.017142,0.000098,0.000026,0.854895
BZ2,50,30,1917.59x,35.106765,0.015501,0.017318,0.000103,0.000024,0.858932
BZ2,50,31,1917.59x,35.112839,0.015678,0.017518,0.000094,0.000025,0.869430
BZ2,100,1,1930.23x,70.350272,0.030954,0.034674,0.000128,0.000037,1.742073
BZ2,100,2,1930.23x,69.481986,0.030224,0.033641,0.000129,0.000036,1.743032
BZ2,100,3,1930.23x,70.620735,0.031067,0.034026,0.000120,0.000028,1.760607
BZ2,100,4,1930.23x,70.500949,0.029611,0.034040,0.000122,0.000033,1.758376
BZ2,100,5,1930.23x,70.626459,0.029871,0.032160,0.000138,0.000034,1.766963
BZ2,100,6,1930.23x,70.353428,0.032084,0.033038,0.000122,0.000034,1.753576
BZ2,100,7,1930.23x,70.472199,0.030652,0.033636,0.000117,0.000028,1.745791
BZ2,100,8,1930.23x,70.458314,0.034670,0.034580,0.000121,0.000028,1.753827
BZ2,100,9,1930.23x,70.347153,0.031983,0.033820,0.000128,0.000039,1.763775
BZ2,100,10,1930.23x,70.580503,0.031851,0.032264,0.000113,0.000028,1.748990
BZ2,100,11,1930.23x,70.608526,0.030510,0.032663,0.000120,0.000036,1.746927
BZ2,100,12,1930.23x,70.634224,0.032515,0.033613,0.000117,0.000029,1.746316
BZ2,100,13,1930.23x,70.495624,0.030623,0.034458,0.000126,0.000036,1.760783
BZ2,100,14,1930.23x,70.560636,0.031728,0.034022,0.000121,0.000034,1.756319
BZ2,100,15,1930.23x,70.623165,0.029880,0.031726,0.000119,0.000027,1.788940
BZ2,100,16,1930.23x,70.509491,0.033319,0.032604,0.000125,0.000038,1.751147
BZ2,100,17,1930.23x,70.651311,0.031966,0.033563,0.000114,0.000028,1.746723
BZ2,100,18,1930.23x,70.728464,0.033950,0.034299,0.000124,0.000034,1.748780
BZ2,100,19,1930.23x,70.549199,0.029824,0.033810,0.000126,0.000036,1.736667
BZ2,100,20,1930.23x,70.629294,0.030074,0.032556,0.000119,0.000025,1.773614
BZ2,100,21,1930.23x,70.570075,0.032052,0.032810,0.000126,0.000036,1.762679
BZ2,100,22,1930.23x,70.788571,0.032695,0.033013,0.000118,0.000028,1.763237
BZ2,100,23,1930.23x,70.848018,0.033451,0.036287,0.000139,0.000037,1.774649
BZ2,100,24,1930.23x,70.865591,0.030562,0.034174,0.000132,0.000039,1.765120
BZ2,100,25,1930.23x,70.809342,0.029049,0.033609,0.000123,0.000028,1.761556
BZ2,100,26,1930.23x,70.693654,0.031772,0.032377,0.000129,0.000038,1.752821
BZ2,100,27,1930.23x,71.079404,0.029880,0.031898,0.000135,0.000041,1.765411
BZ2,100,28,1930.23x,70.998007,0.030970,0.033589,0.000126,0.000033,1.760718
BZ2,100,29,1930.23x,70.931005,0.030509,0.034053,0.000128,0.000036,1.767119
BZ2,100,30,1930.23x,70.889534,0.029872,0.032741,0.000138,0.000043,1.757710
BZ2,100,31,1930.23x,70.870942,0.029748,0.032064,0.000121,0.000036,1.753616
BZ2,1000,1,1937.27x,710.436513,0.304163,0.306330,0.000306,0.000124,17.275953
BZ2,1000,2,1937.27x,699.961998,0.307736,0.326199,0.000271,0.000125,17.303953
BZ2,1000,3,1937.27x,695.817055,0.303174,0.328512,0.000262,0.000148,17.075688
BZ2,1000,4,1937.27x,707.488105,0.314943,0.327340,0.000284,0.000125,17.111553
BZ2,1000,5,1937.27x,710.139671,0.306955,0.329694,0.000279,0.000153,17.188689
BZ2,1000,6,1937.27x,710.683465,0.311067,0.329642,0.000286,0.000127,17.334124
BZ2,1000,7,1937.27x,709.787263,0.311878,0.328105,0.000277,0.000148,17.257342
BZ2,1000,8,1937.27x,711.015705,0.303489,0.328042,0.000278,0.000120,17.127670
BZ2,1000,9,1937.27x,710.828092,0.302822,0.325375,0.000255,0.000167,17.280494
BZ2,1000,10,1937.27x,711.038257,0.305896,0.329614,0.000304,0.000141,17.292317
BZ2,1000,11,1937.27x,711.243848,0.307118,0.325918,0.000271,0.000144,17.101467
BZ2,1000,12,1937.27x,712.578423,0.309633,0.325305,0.000289,0.000128,17.118802
BZ2,1000,13,1937.27x,710.862901,0.310483,0.322861,0.000260,0.000142,17.046916
BZ2,1000,14,1937.27x,711.675642,0.309405,0.327149,0.000278,0.000127,17.335179
BZ2,1000,15,1937.27x,709.359109,0.306283,0.325863,0.000279,0.000161,17.233734
BZ2,1000,16,1937.27x,709.924206,0.309579,0.324606,0.000271,0.000122,17.278571
BZ2,1000,17,1937.27x,709.697765,0.311162,0.325953,0.000286,0.000142,17.306359
BZ2,1000,18,1937.27x,710.084947,0.310441,0.327696,0.000282,0.000123,17.245695
BZ2,1000,19,1937.27x,709.618466,0.309286,0.325667,0.000283,0.000149,17.196867
