stage,stage_name,workers,objects,input_stage_seconds,input_compression_seconds,input_hash_seconds,input_crypto_seconds,application_seconds,output_stage_seconds,output_compression_seconds,output_hash_seconds,output_crypto_seconds,total_seconds,input_requirement_1,input_requirement_1_seconds,input_requirement_2,input_requirement_2_seconds,input_requirement_3,input_requirement_3_seconds,output_requirement_1,output_requirement_1_seconds,output_requirement_2,output_requirement_2_seconds,output_requirement_3,output_requirement_3_seconds
1,stage1,8,400,0.000000,0.000000,0.000000,0.000000,230.264191,153.436508,76.718254,76.718254,0.000000,383.700699,,0.000000,,0.000000,,0.000000,hash_calculate:SHA256,76.718254,compress:ZLIB,76.718254,,0.000000
2,stage2,8,400,153.436508,76.718254,76.718254,0.000000,77.705070,153.436502,0.000000,76.718248,76.718254,384.578081,uncompress:ZLIB,76.718254,hash_verify:SHA256,76.718254,,0.000000,encrypt:RS,76.718254,hash_calculate:BLAKE3,76.718248,,0.000000
3,stage3,8,400,153.436502,0.000000,76.718260,76.718242,125.201736,230.154744,76.718248,76.718236,76.718260,508.792983,hash_verify:BLAKE3,76.718260,unencrypt:RS,76.718242,,0.000000,compress:LZ4,76.718248,encrypt:RS,76.718260,hash_calculate:SHA3_256,76.718236
4,stage4,8,400,230.154781,76.718260,76.718260,76.718260,128.579636,76.718236,0.000000,76.718236,0.000000,435.452653,hash_verify:SHA3_256,76.718260,unencrypt:RS,76.718260,uncompress:LZ4,76.718260,hash_calculate:SHA256,76.718236,,0.000000,,0.000000
