stage,stage_name,workers,objects,input_stage_seconds,input_compression_seconds,input_hash_seconds,input_crypto_seconds,application_seconds,output_stage_seconds,output_compression_seconds,output_hash_seconds,output_crypto_seconds,total_seconds,input_requirement_1,input_requirement_1_seconds,input_requirement_2,input_requirement_2_seconds,input_requirement_3,input_requirement_3_seconds,output_requirement_1,output_requirement_1_seconds,output_requirement_2,output_requirement_2_seconds,output_requirement_3,output_requirement_3_seconds
1,stage1,8,200,0.000000,0.000000,0.000000,0.000000,151.969391,77.763947,38.664148,39.099799,0.000000,229.733338,,0.000000,,0.000000,,0.000000,hash_calculate:SHA256,39.099799,compress:ZLIB,38.664148,,0.000000
2,stage2,8,200,76.972281,38.486140,38.486140,0.000000,48.170490,76.972278,0.000000,38.486137,38.486140,202.115049,uncompress:ZLIB,38.486140,hash_verify:SHA256,38.486140,,0.000000,encrypt:RS,38.486140,hash_calculate:BLAKE3,38.486137,,0.000000
3,stage3,8,200,81.997303,0.000000,40.975708,41.021595,75.472328,115.700293,38.728012,38.486137,38.486144,273.169924,hash_verify:BLAKE3,40.975708,unencrypt:RS,41.021595,,0.000000,compress:LZ4,38.728012,encrypt:RS,38.486144,hash_calculate:SHA3_256,38.486137
4,stage4,8,200,115.458412,38.486137,38.486137,38.486137,77.501480,38.486137,0.000000,38.486137,0.000000,231.446030,hash_verify:SHA3_256,38.486137,unencrypt:RS,38.486137,uncompress:LZ4,38.486137,hash_calculate:SHA256,38.486137,,0.000000,,0.000000
