stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.549961,0.068745,427.574968,53.446871
1,stage1,output,0,hash_calculate,SHA256,8,0.570477,0.071310,132.632957,16.579120
1,stage1,output,1,compress,ZLIB,8,0.603718,0.075465,132.632962,16.579120
1,stage1,combined,-1,combined,,24,1.724157,0.071840,692.840887,28.868370
2,stage2,input,0,uncompress,ZLIB,8,0.617649,0.077206,132.632962,16.579120
2,stage2,input,1,hash_verify,SHA256,8,0.631539,0.078942,132.632957,16.579120
2,stage2,application,0,application,,8,0.619353,0.077419,155.849272,19.481159
2,stage2,output,0,encrypt,RS,8,0.623512,0.077939,132.632962,16.579120
2,stage2,output,1,hash_calculate,BLAKE3,8,0.630646,0.078831,132.632944,16.579118
2,stage2,combined,-1,combined,,40,3.122700,0.078068,686.381097,17.159527
3,stage3,input,0,hash_verify,BLAKE3,8,0.623243,0.077905,136.204578,17.025572
3,stage3,input,1,unencrypt,RS,8,0.621109,0.077639,136.336362,17.042045
3,stage3,application,0,application,,8,0.605754,0.075719,214.065064,26.758133
3,stage3,output,0,compress,LZ4,8,0.624778,0.078097,132.632944,16.579118
3,stage3,output,1,encrypt,RS,8,0.634126,0.079266,132.632980,16.579123
3,stage3,output,2,hash_calculate,SHA3_256,8,0.632184,0.079023,132.632944,16.579118
3,stage3,combined,-1,combined,,48,3.741194,0.077942,884.504873,18.427185
4,stage4,input,0,hash_verify,SHA3_256,8,0.640128,0.080016,132.632944,16.579118
4,stage4,input,1,unencrypt,RS,8,0.611404,0.076426,132.632944,16.579118
4,stage4,input,2,uncompress,LZ4,8,0.582896,0.072862,132.632957,16.579120
4,stage4,application,0,application,,8,0.548722,0.068590,219.728592,27.466074
4,stage4,output,0,hash_calculate,SHA256,8,0.519185,0.064898,132.632969,16.579121
4,stage4,combined,-1,combined,,40,2.902335,0.072558,750.260407,18.756510
