stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.558928,0.069866,428.011790,53.501474
1,stage1,output,0,hash_calculate,SHA256,8,0.559353,0.069919,134.030121,16.753765
1,stage1,output,1,compress,ZLIB,8,0.572283,0.071535,133.634626,16.704328
1,stage1,combined,-1,combined,,24,1.690564,0.070440,695.676537,28.986522
2,stage2,input,0,uncompress,ZLIB,8,0.600015,0.075002,133.634626,16.704328
2,stage2,input,1,hash_verify,SHA256,8,0.596454,0.074557,133.634622,16.704328
2,stage2,application,0,application,,8,0.592306,0.074038,155.965508,19.495688
2,stage2,output,0,encrypt,RS,8,0.585926,0.073241,133.634627,16.704328
2,stage2,output,1,hash_calculate,BLAKE3,8,0.582522,0.072815,133.634609,16.704326
2,stage2,combined,-1,combined,,40,2.957223,0.073931,690.503991,17.262600
3,stage3,input,0,hash_verify,BLAKE3,8,0.584996,0.073124,137.003973,17.125497
3,stage3,input,1,unencrypt,RS,8,0.582653,0.072832,137.095950,17.136994
3,stage3,application,0,application,,8,0.575613,0.071952,214.281050,26.785131
3,stage3,output,0,compress,LZ4,8,0.595190,0.074399,133.634606,16.704326
3,stage3,output,1,encrypt,RS,8,0.630974,0.078872,133.634645,16.704331
3,stage3,output,2,hash_calculate,SHA3_256,8,0.625224,0.078153,133.634604,16.704325
3,stage3,combined,-1,combined,,48,3.594650,0.074889,889.284828,18.526767
4,stage4,input,0,hash_verify,SHA3_256,8,0.619376,0.077422,133.634609,16.704326
4,stage4,input,1,unencrypt,RS,8,0.605559,0.075695,133.634609,16.704326
4,stage4,input,2,uncompress,LZ4,8,0.564771,0.070596,133.634634,16.704329
4,stage4,application,0,application,,8,0.542242,0.067780,219.950435,27.493804
4,stage4,output,0,hash_calculate,SHA256,8,0.505829,0.063229,133.634640,16.704330
4,stage4,combined,-1,combined,,40,2.837777,0.070944,754.488926,18.862223
