size_mb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
10,4,2,10,0.012775,0.001570,0.006313,0.001808,0.008528,0.002771
10,4,2,11,0.012733,0.001571,0.006388,0.002050,0.009673,0.003105
10,4,2,12,0.012777,0.001560,0.006165,0.002026,0.009866,0.003158
10,4,2,13,0.012811,0.001627,0.006499,0.001901,0.009854,0.003130
10,4,2,14,0.012703,0.001603,0.006552,0.002099,0.009668,0.003108
10,4,2,15,0.012702,0.001581,0.006501,0.002046,0.009504,0.003000
10,4,2,16,0.014488,0.001583,0.006313,0.003112,0.009688,0.003029
10,4,2,17,0.013610,0.003467,0.006442,0.001860,0.010089,0.003126
10,4,2,18,0.012687,0.001597,0.006145,0.001875,0.009610,0.003174
10,4,2,19,0.012733,0.001570,0.006422,0.001849,0.009662,0.003245
10,4,2,20,0.012755,0.001588,0.006553,0.002082,0.009705,0.003176
10,4,2,21,0.014637,0.001611,0.006057,0.003187,0.010025,0.003064
10,4,2,22,0.012769,0.002437,0.006068,0.001889,0.009811,0.003152
10,4,2,23,0.012767,0.001618,0.006040,0.001872,0.009524,0.003213
10,4,2,24,0.012841,0.003847,0.006505,0.001850,0.009454,0.003064
10,4,2,25,0.012705,0.001622,0.006259,0.002016,0.009573,0.003077
10,4,2,26,0.012807,0.001594,0.006518,0.001918,0.009552,0.003137
10,4,2,27,0.012746,0.001593,0.006129,0.002050,0.009897,0.003137
10,4,2,28,0.012756,0.001648,0.006580,0.001898,0.009610,0.003121
10,4,2,29,0.012723,0.001591,0.006266,0.002003,0.009917,0.003130
10,4,2,30,0.012817,0.001587,0.006527,0.001908,0.009779,0.003211
10,4,2,31,0.012734,0.001611,0.006077,0.002049,0.009496,0.003216
10,8,4,1,0.023515,0.001583,0.006554,0.001879,0.009774,0.003078
10,8,4,2,0.023436,0.001616,0.006272,0.002012,0.009821,0.003206
10,8,4,3,0.023518,0.001592,0.006706,0.001930,0.009929,0.003127
10,8,4,4,0.023490,0.001645,0.005986,0.002036,0.009922,0.003253
10,8,4,5,0.023545,0.001579,0.006514,0.001943,0.009639,0.003240
10,8,4,6,0.023485,0.001605,0.006453,0.002063,0.010021,0.003216
10,8,4,7,0.023509,0.001527,0.006445,0.002040,0.009712,0.003227
10,8,4,8,0.023525,0.001576,0.006029,0.002038,0.010068,0.003147
10,8,4,9,0.023535,0.001592,0.006439,0.001943,0.132774,0.003168
10,8,4,10,0.023471,0.001572,0.006200,0.002027,0.009637,0.003216
10,8,4,11,0.023521,0.001574,0.006368,0.002061,0.009665,0.003225
10,8,4,12,0.023497,0.002046,0.006072,0.001999,0.009963,0.003137
10,8,4,13,0.023451,0.002886,0.006535,0.001907,0.009710,0.003173
10,8,4,14,0.023458,0.001567,0.006549,0.002100,0.009601,0.003194
10,8,4,15,0.023522,0.001649,0.006422,0.001959,0.009973,0.003235
10,8,4,16,0.023547,0.002709,0.006506,0.001992,0.009868,0.003226
10,8,4,17,0.023550,0.001613,0.006110,0.002075,0.009715,0.003222
10,8,4,18,0.023491,0.002766,0.006258,0.001921,0.009584,0.003127
10,8,4,19,0.023460,0.001571,0.006517,0.001988,0.009976,0.003325
10,8,4,20,0.023461,0.001618,0.006258,0.001964,0.009659,0.003230
10,8,4,21,0.023490,0.001557,0.006125,0.001936,0.009935,0.003167
10,8,4,22,0.024519,0.003497,0.006466,0.003234,0.009708,0.003149
10,8,4,23,0.023583,0.001609,0.006563,0.002037,0.009849,0.003190
10,8,4,24,0.023490,0.001565,0.006358,0.002005,0.009623,0.003128
10,8,4,25,0.023481,0.002674,0.006111,0.002033,0.009982,0.003169
10,8,4,26,0.023496,0.001556,0.006367,0.001901,0.009650,0.003193
10,8,4,27,0.023476,0.001587,0.006253,0.001984,0.009679,0.003242
10,8,4,28,0.023475,0.002269,0.006461,0.001977,0.009822,0.003244
10,8,4,29,0.023469,0.003012,0.006037,0.002070,0.009539,0.003212
10,8,4,30,0.023513,0.001608,0.006523,0.001869,0.009855,0.003256
10,8,4,31,0.023427,0.001573,0.006560,0.002001,0.009773,0.003236
10,10,4,1,0.023447,0.002657,0.006055,0.001963,0.009123,0.003018
