stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.554802,0.069350,539.974884,67.496860
1,stage1,output,0,hash_calculate,SHA256,8,0.584765,0.073096,174.125357,21.765670
1,stage1,output,1,compress,ZLIB,8,0.605203,0.075650,155.210829,19.401354
1,stage1,combined,-1,combined,,24,1.744771,0.072699,869.311069,36.221295
2,stage2,input,0,uncompress,ZLIB,8,0.614580,0.076822,132.632957,16.579120
2,stage2,input,1,hash_verify,SHA256,8,0.615055,0.076882,134.310700,16.788838
2,stage2,application,0,application,,8,0.613970,0.076746,178.972968,22.371621
2,stage2,output,0,encrypt,RS,8,0.641410,0.080176,137.221437,17.152680
2,stage2,output,1,hash_calculate,BLAKE3,8,0.606697,0.075837,136.731795,17.091474
2,stage2,combined,-1,combined,,40,3.091712,0.077293,719.869857,17.996746
3,stage3,input,0,hash_verify,BLAKE3,8,0.612770,0.076596,236.834650,29.604331
3,stage3,input,1,unencrypt,RS,8,0.601059,0.075132,238.906346,29.863293
3,stage3,application,0,application,,8,0.593005,0.074126,373.922712,46.740339
3,stage3,output,0,compress,LZ4,8,0.596632,0.074579,158.410617,19.801327
3,stage3,output,1,encrypt,RS,8,0.589272,0.073659,132.632944,16.579118
3,stage3,output,2,hash_calculate,SHA3_256,8,0.633658,0.079207,132.632992,16.579124
3,stage3,combined,-1,combined,,48,3.626395,0.075550,1273.340261,26.527922
4,stage4,input,0,hash_verify,SHA3_256,8,0.625374,0.078172,132.632919,16.579115
4,stage4,input,1,unencrypt,RS,8,0.634495,0.079312,132.632969,16.579121
4,stage4,input,2,uncompress,LZ4,8,0.608515,0.076064,133.523479,16.690435
4,stage4,application,0,application,,8,0.593378,0.074172,283.671616,35.458952
4,stage4,output,0,hash_calculate,SHA256,8,0.587971,0.073496,136.712006,17.089001
4,stage4,combined,-1,combined,,40,3.049733,0.076243,819.172989,20.479325
