size_mb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
10,4,2,10,0.013765,0.002544,0.003343,0.003333,0.005437,0.005308
10,4,2,11,0.013715,0.003082,0.003311,0.003462,0.005841,0.005583
10,4,2,12,0.013949,0.002558,0.003341,0.003467,0.005440,0.005398
10,4,2,13,0.013912,0.002568,0.003363,0.003493,0.005439,0.005353
10,4,2,14,0.013772,0.002530,0.003310,0.003470,0.005451,0.005268
10,4,2,15,0.013807,0.002541,0.003327,0.003480,0.005460,0.005369
10,4,2,16,0.014450,0.002519,0.003283,0.003992,0.005383,0.005156
10,4,2,17,0.013992,0.003135,0.003284,0.003507,0.005410,0.005288
10,4,2,18,0.013710,0.002460,0.003330,0.003480,0.005348,0.004941
10,4,2,19,0.013806,0.002459,0.003040,0.003268,0.005282,0.004861
10,4,2,20,0.013754,0.002683,0.003019,0.002952,0.005176,0.005905
10,4,2,21,0.014501,0.002461,0.003091,0.003483,0.004880,0.004673
10,4,2,22,0.013775,0.002639,0.003115,0.003035,0.004828,0.004678
10,4,2,23,0.013831,0.002522,0.003098,0.003086,0.005428,0.005290
10,4,2,24,0.013695,0.003139,0.003184,0.003289,0.005451,0.005268
10,4,2,25,0.013916,0.002534,0.003297,0.003389,0.005438,0.005367
10,4,2,26,0.013871,0.002564,0.003288,0.003373,0.005435,0.005309
10,4,2,27,0.013712,0.002508,0.003303,0.003448,0.005381,0.005287
10,4,2,28,0.013823,0.002568,0.003268,0.003511,0.005432,0.005286
10,4,2,29,0.013741,0.002535,0.003282,0.003440,0.005465,0.005341
10,4,2,30,0.013763,0.002512,0.003374,0.003514,0.005486,0.005318
10,4,2,31,0.014364,0.002513,0.003416,0.003509,0.005426,0.005263
10,8,4,1,0.024628,0.003104,0.003284,0.003410,0.005776,0.006119
10,8,4,2,0.024554,0.002566,0.003375,0.003501,0.005413,0.005317
10,8,4,3,0.024671,0.002528,0.003347,0.003427,0.005435,0.005278
10,8,4,4,0.024539,0.002531,0.003330,0.003387,0.004997,0.004660
10,8,4,5,0.024547,0.002502,0.003078,0.003020,0.005056,0.004723
10,8,4,6,0.024522,0.002454,0.003084,0.002918,0.005034,0.004736
10,8,4,7,0.024471,0.002525,0.003040,0.003071,0.005038,0.004706
10,8,4,8,0.024347,0.002558,0.003067,0.002973,0.005037,0.004703
10,8,4,9,0.024480,0.002589,0.003028,0.003071,0.005088,0.004696
10,8,4,10,0.024580,0.002465,0.003089,0.003084,0.005048,0.004649
10,8,4,11,0.024526,0.002489,0.003135,0.002941,0.005070,0.004691
10,8,4,12,0.024623,0.002647,0.003047,0.003028,0.005066,0.004760
10,8,4,13,0.024629,0.003049,0.003068,0.003014,0.005084,0.004782
10,8,4,14,0.024691,0.002489,0.003281,0.002955,0.005048,0.004669
10,8,4,15,0.024510,0.002466,0.003071,0.003019,0.005523,0.005423
10,8,4,16,0.024535,0.002710,0.003081,0.002942,0.005027,0.004734
10,8,4,17,0.024573,0.002519,0.003100,0.003082,0.005079,0.004651
10,8,4,18,0.024560,0.002665,0.003151,0.003107,0.005028,0.004664
10,8,4,19,0.024426,0.002447,0.003145,0.002917,0.005060,0.004685
10,8,4,20,0.024479,0.002547,0.003066,0.002958,0.005020,0.004709
10,8,4,21,0.024547,0.002549,0.003086,0.002977,0.005072,0.004733
10,8,4,22,0.025091,0.002847,0.003082,0.003529,0.005062,0.004771
10,8,4,23,0.024650,0.002430,0.003114,0.003006,0.005069,0.004677
10,8,4,24,0.024511,0.002605,0.003152,0.003002,0.005164,0.004694
10,8,4,25,0.024556,0.002717,0.003016,0.002995,0.005108,0.004663
10,8,4,26,0.024489,0.002498,0.003083,0.003068,0.005095,0.004687
10,8,4,27,0.024521,0.002434,0.003132,0.002959,0.005040,0.004687
10,8,4,28,0.024383,0.002679,0.003052,0.003088,0.005099,0.004659
10,8,4,29,0.024418,0.003070,0.003054,0.003021,0.005031,0.004661
10,8,4,30,0.024693,0.002441,0.003216,0.003042,0.005046,0.004685
10,8,4,31,0.024542,0.002496,0.003071,0.003004,0.005042,0.004688
10,10,4,1,0.024455,0.002868,0.003148,0.002912,0.005097,0.005029
10,10,4,2,0.024536,0.002643,0.003512,0.003485,0.005071,0.004964
10,10,4,3,0.025184,0.002510,0.003423,0.003759,0.005039,0.004920
10,10,4,4,0.024561,0.002604,0.003323,0.003323,0.005043,0.004945
10,10,4,5,0.024415,0.002701,0.003302,0.003389,0.005023,0.004975
10,10,4,6,0.024529,0.002565,0.003280,0.003519,0.005049,0.004945
10,10,4,7,0.024424,0.002844,0.003355,0.003429,0.004996,0.005032
10,10,4,8,0.024430,0.002539,0.003302,0.003378,0.005054,0.004942
10,10,4,9,0.024418,0.002578,0.003365,0.003496,0.005022,0.004940
10,10,4,10,0.024322,0.003198,0.003335,0.003619,0.005126,0.004922
10,10,4,11,0.024475,0.002625,0.003306,0.003400,0.005034,0.004957
10,10,4,12,0.024690,0.002561,0.003329,0.003307,0.004975,0.004915
10,10,4,13,0.024403,0.002493,0.003324,0.003409,0.004965,0.004546
10,10,4,14,0.024638,0.002731,0.003018,0.002888,0.005013,0.004962
10,10,4,15,0.024458,0.002592,0.003380,0.003558,0.005030,0.004879
10,10,4,16,0.024525,0.002589,0.003353,0.003331,0.004819,0.004636
10,10,4,17,0.024578,0.002791,0.003314,0.003409,0.005110,0.004923
10,10,4,18,0.024463,0.002669,0.003317,0.003312,0.005107,0.005036
10,10,4,19,0.024336,0.002658,0.003311,0.003519,0.005152,0.005001
10,10,4,20,0.024342,0.003082,0.003348,0.003632,0.005066,0.004724
10,10,4,21,0.024348,0.002557,0.003132,0.003093,0.004965,0.004687
10,10,4,22,0.024329,0.002687,0.003038,0.002917,0.005063,0.004746
10,10,4,23,0.024506,0.002583,0.003024,0.002969,0.004922,0.004573
10,10,4,24,0.024511,0.002575,0.003087,0.003021,0.004732,0.004439
10,10,4,25,0.024397,0.002524,0.003106,0.002960,0.004689,0.004382
10,10,4,26,0.024414,0.002594,0.003140,0.002949,0.004761,0.004422
10,10,4,27,0.024428,0.002509,0.003071,0.002913,0.004766,0.004380
10,10,4,28,0.024520,0.002649,0.003074,0.003033,0.004777,0.004397
10,10,4,29,0.024506,0.002679,0.003039,0.003065,0.004737,0.004331
10,10,4,30,0.024505,0.002555,0.003049,0.002944,0.004928,0.004613
10,10,4,31,0.024456,0.002537,0.003047,0.002893,0.004712,0.004414
50,4,2,1,0.073242,0.015007,0.015735,0.016959,0.025421,0.024565
50,4,2,2,0.071844,0.015310,0.017622,0.017984,0.026732,0.025899
50,4,2,3,0.074452,0.013303,0.016855,0.017960,0.025619,0.025120
50,4,2,4,0.074522,0.013758,0.018128,0.018342,0.024015,0.024182
50,4,2,5,0.068482,0.016186,0.016452,0.016843,0.028411,0.026091
50,4,2,6,0.070811,0.013314,0.017704,0.016992,0.024334,0.024676
50,4,2,7,0.070689,0.014269,0.018087,0.015935,0.025507,0.025743
50,4,2,8,0.069304,0.017327,0.016252,0.016841,0.025333,0.025306
50,4,2,9,0.071248,0.013383,0.016204,0.016525,0.024883,0.025385
50,4,2,10,0.070535,0.015719,0.017470,0.015567,0.026242,0.026439
50,4,2,11,0.069864,0.015920,0.016699,0.017900,0.026187,0.025694
50,4,2,12,0.069502,0.016607,0.016727,0.016756,0.026368,0.025122
50,4,2,13,0.068496,0.016763,0.019059,0.017473,0.025255,0.024778
50,4,2,14,0.070501,0.015265,0.017370,0.018227,0.026120,0.024878
50,4,2,15,0.071533,0.016411,0.017532,0.017106,0.025715,0.024757
50,4,2,16,0.066597,0.015753,0.018288,0.018216,0.026997,0.025216
