algoritmo,size_mb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
BLAKE3,1,9,0.000243,0.001217,0.000156
BLAKE3,1,10,0.000239,0.001041,0.000150
BLAKE3,10,1,0.002579,0.010235,0.005353
BLAKE3,10,2,0.002598,0.010198,0.001802
BLAKE3,10,3,0.002584,0.010498,0.001703
BLAKE3,10,4,0.002587,0.010273,0.001779
BLAKE3,10,5,0.002570,0.010446,0.001747
BLAKE3,10,6,0.002586,0.010311,0.001760
BLAKE3,10,7,0.002643,0.010259,0.001760
BLAKE3,10,8,0.002583,0.010291,0.001814
BLAKE3,10,9,0.002609,0.010301,0.001724
BLAKE3,10,10,0.002600,0.010263,0.001741
BLAKE3,50,1,0.013308,0.054050,0.031685
BLAKE3,50,2,0.013153,0.052842,0.032736
BLAKE3,50,3,0.013318,0.053238,0.032282
BLAKE3,50,4,0.013273,0.056775,0.034598
BLAKE3,50,5,0.013295,0.054116,0.032657
BLAKE3,50,6,0.013290,0.055415,0.033402
BLAKE3,50,7,0.013252,0.053803,0.033285
BLAKE3,50,8,0.013317,0.052975,0.034467
BLAKE3,50,9,0.013304,0.053276,0.033283
BLAKE3,50,10,0.013201,0.055988,0.033891
BLAKE3,100,1,0.026377,0.114953,0.064830
BLAKE3,100,2,0.026697,0.114254,0.070030
BLAKE3,100,3,0.026506,0.117040,0.067306
BLAKE3,100,4,0.026734,0.115820,0.069330
BLAKE3,100,5,0.026576,0.115819,0.066411
BLAKE3,100,6,0.026674,0.116412,0.067711
BLAKE3,100,7,0.026675,0.116256,0.066078
BLAKE3,100,8,0.026544,0.116902,0.067692
BLAKE3,100,9,0.026613,0.116565,0.065989
BLAKE3,100,10,0.026642,0.117487,0.067340
BLAKE3,1000,1,0.267395,1.144060,0.577752
BLAKE3,1000,2,0.265805,1.202006,0.678556
BLAKE3,1000,3,0.266345,1.185466,0.661705
BLAKE3,1000,4,0.267194,1.153659,0.676127
BLAKE3,1000,5,0.264226,1.135110,0.660199
BLAKE3,1000,6,0.265053,1.159266,0.671226
BLAKE3,1000,7,0.271756,1.147097,0.679455
BLAKE3,1000,8,0.266745,1.126515,0.670211
BLAKE3,1000,9,0.268164,1.130332,0.661245
BLAKE3,1000,10,0.264031,1.152050,0.673593
HMAC_SHA256,1,1,0.000568,0.001169,0.094787
HMAC_SHA256,1,2,0.000574,0.001047,0.000132
HMAC_SHA256,1,3,0.000541,0.001051,0.000147
HMAC_SHA256,1,4,0.000539,0.001006,0.000150
HMAC_SHA256,1,5,0.000541,0.001023,0.000146
HMAC_SHA256,1,6,0.000543,0.001023,0.000146
HMAC_SHA256,1,7,0.000533,0.001011,0.000155
HMAC_SHA256,1,8,0.000524,0.001022,0.000155
HMAC_SHA256,1,9,0.000542,0.001018,0.000146
HMAC_SHA256,1,10,0.000531,0.001013,0.000148
HMAC_SHA256,10,1,0.005091,0.010428,0.005306
HMAC_SHA256,10,2,0.005093,0.010180,0.001754
HMAC_SHA256,10,3,0.005072,0.010264,0.001747
HMAC_SHA256,10,4,0.005078,0.010297,0.001703
HMAC_SHA256,10,5,0.005083,0.010461,0.001717
HMAC_SHA256,10,6,0.005068,0.010346,0.001695
HMAC_SHA256,10,7,0.005096,0.010231,0.001747
HMAC_SHA256,10,8,0.005088,0.010252,0.001774
HMAC_SHA256,10,9,0.005070,0.010372,0.001707
HMAC_SHA256,10,10,0.005077,0.010278,0.001697
HMAC_SHA256,50,1,0.025232,0.050764,0.031473
HMAC_SHA256,50,2,0.025210,0.050460,0.033175
HMAC_SHA256,50,3,0.025232,0.052904,0.032401
HMAC_SHA256,50,4,0.025181,0.052170,0.032495
HMAC_SHA256,50,5,0.025331,0.053672,0.032225
HMAC_SHA256,50,6,0.025210,0.052004,0.032469
HMAC_SHA256,50,7,0.025285,0.054387,0.032103
HMAC_SHA256,50,8,0.025158,0.051669,0.032509
HMAC_SHA256,50,9,0.025303,0.053258,0.032406
HMAC_SHA256,50,10,0.025332,0.053838,0.032441
HMAC_SHA256,100,1,0.050609,0.123578,0.063818
HMAC_SHA256,100,2,0.050491,0.114599,0.067391
HMAC_SHA256,100,3,0.050620,0.125556,0.070529
HMAC_SHA256,100,4,0.050551,0.116349,0.065641
HMAC_SHA256,100,5,0.050622,0.116647,0.065831
HMAC_SHA256,100,6,0.050561,0.116111,0.065701
HMAC_SHA256,100,7,0.050700,0.116837,0.066205
HMAC_SHA256,100,8,0.050638,0.117386,0.065871
HMAC_SHA256,100,9,0.050499,0.116611,0.066622
HMAC_SHA256,100,10,0.050591,0.116520,0.068048
HMAC_SHA256,1000,1,0.503974,1.095377,0.578386
HMAC_SHA256,1000,2,0.503481,1.135455,0.673134
HMAC_SHA256,1000,3,0.504099,1.196753,0.664886
HMAC_SHA256,1000,4,0.505734,1.129947,0.672451
HMAC_SHA256,1000,5,0.506135,1.107688,0.661679
HMAC_SHA256,1000,6,0.505397,1.154172,0.674684
HMAC_SHA256,1000,7,0.505939,1.123918,0.664286
HMAC_SHA256,1000,8,0.505388,1.147521,0.673171
HMAC_SHA256,1000,9,0.506047,1.105924,0.660694
HMAC_SHA256,1000,10,0.505479,1.147627,0.673338
