algorithm,size_mb,key_bits,object_id,tiempo_encryption_s,tiempo_decryption_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_enc_s,tiempo_io_read_enc_s
AES,10,128,18,0.061039,0.061623,0.003356,0.002957,0.003298,0.002959
AES,10,128,19,0.058549,0.063043,0.003430,0.002931,0.003253,0.002959
AES,10,128,20,0.061156,0.062715,0.003318,0.002943,0.003314,0.003136
AES,10,128,21,0.061355,0.064343,0.003378,0.003039,0.003155,0.002952
AES,10,128,22,0.061099,0.063505,0.003349,0.002956,0.003248,0.002908
AES,10,128,23,0.058723,0.061375,0.003443,0.003066,0.003226,0.003454
AES,10,128,24,0.059448,0.062869,0.003314,0.003308,0.003261,0.003077
AES,10,128,25,0.059979,0.063038,0.003332,0.003027,0.003178,0.002899
AES,10,128,26,0.057241,0.061670,0.003379,0.002956,0.003326,0.003452
AES,10,128,27,0.060019,0.064064,0.003381,0.003331,0.003243,0.002934
AES,10,128,28,0.056524,0.061005,0.003272,0.003367,0.003262,0.003032
AES,10,128,29,0.059891,0.062917,0.003329,0.003017,0.003181,0.003009
AES,10,128,30,0.058607,0.062912,0.003592,0.003238,0.003296,0.002966
AES,10,128,31,0.061339,0.063653,0.003392,0.003025,0.003291,0.003035
AES,10,256,1,0.075689,0.079859,0.003299,0.002969,0.003243,0.002990
AES,10,256,2,0.076826,0.079132,0.003347,0.003033,0.003214,0.002920
AES,10,256,3,0.080770,0.078683,0.003323,0.002993,0.003273,0.003442
AES,10,256,4,0.076201,0.079002,0.003390,0.003349,0.003360,0.003057
AES,10,256,5,0.077753,0.083392,0.003344,0.002988,0.003200,0.002955
AES,10,256,6,0.076993,0.079490,0.003300,0.003049,0.003235,0.003487
AES,10,256,7,0.077107,0.080487,0.003305,0.003353,0.003325,0.002923
AES,10,256,8,0.076525,0.079205,0.003422,0.003400,0.003311,0.003057
AES,10,256,9,0.076921,0.090156,0.003347,0.003014,0.003511,0.003114
AES,10,256,10,0.075418,0.079347,0.003377,0.002928,0.003170,0.003002
AES,10,256,11,0.072590,0.076943,0.003212,0.002997,0.003340,0.003020
AES,10,256,12,0.073194,0.079855,0.003351,0.002941,0.003219,0.002908
AES,10,256,13,0.076698,0.081627,0.003335,0.002957,0.003273,0.003013
