stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,16,1.455389,0.090962,372.972272,23.310767
1,stage1,output,0,hash_calculate,SHA256,16,1.796812,0.112301,152.331277,9.520705
1,stage1,output,1,compress,ZLIB,16,2.066037,0.129127,151.586285,9.474143
1,stage1,combined,-1,combined,,48,5.318237,0.110797,676.889834,14.101872
2,stage2,input,0,uncompress,ZLIB,16,2.126846,0.132928,151.285525,9.455345
2,stage2,input,1,hash_verify,SHA256,16,2.194673,0.137167,151.285525,9.455345
2,stage2,application,0,application,,16,2.167367,0.135460,158.527115,9.907945
2,stage2,output,0,encrypt,RS,16,2.209734,0.138108,151.285525,9.455345
2,stage2,output,1,hash_calculate,BLAKE3,16,2.235758,0.139735,151.285528,9.455346
2,stage2,combined,-1,combined,,80,10.934378,0.136680,763.669218,9.545865
3,stage3,input,0,hash_verify,BLAKE3,16,2.313524,0.144595,154.149467,9.634342
3,stage3,input,1,unencrypt,RS,16,2.203702,0.137731,154.189379,9.636836
3,stage3,application,0,application,,16,2.364318,0.147770,189.718664,11.857417
3,stage3,output,0,compress,LZ4,16,2.264592,0.141537,151.695516,9.480970
3,stage3,output,1,encrypt,RS,16,2.135370,0.133461,151.285525,9.455345
3,stage3,output,2,hash_calculate,SHA3_256,16,2.247570,0.140473,151.285523,9.455345
3,stage3,combined,-1,combined,,96,13.529075,0.140928,952.324074,9.920042
4,stage4,input,0,hash_verify,SHA3_256,16,2.261584,0.141349,151.285541,9.455346
4,stage4,input,1,unencrypt,RS,16,2.058937,0.128684,151.285523,9.455345
4,stage4,input,2,uncompress,LZ4,16,2.012488,0.125781,151.285547,9.455347
4,stage4,application,0,application,,16,1.745608,0.109101,194.579616,12.161226
4,stage4,output,0,hash_calculate,SHA256,16,1.537990,0.096124,151.285530,9.455346
4,stage4,combined,-1,combined,,80,9.616607,0.120208,799.721756,9.996522
