algorithm,size_mb,key_bits,object_id,tiempo_encryption_s,tiempo_decryption_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_enc_s,tiempo_io_read_enc_s
AES,10,128,18,0.017661,0.021559,0.005752,0.001923,0.005820,0.002090
AES,10,128,19,0.017679,0.018906,0.005919,0.002107,0.005706,0.001957
AES,10,128,20,0.017619,0.018833,0.005770,0.001953,0.005853,0.002069
AES,10,128,21,0.017633,0.024150,0.005874,0.002131,0.005696,0.002028
AES,10,128,22,0.017711,0.018886,0.005749,0.002028,0.005825,0.002046
AES,10,128,23,0.017686,0.018907,0.005904,0.002096,0.005704,0.002974
AES,10,128,24,0.017710,0.018987,0.005920,0.002076,0.005626,0.001943
AES,10,128,25,0.017683,0.021538,0.005716,0.001977,0.005700,0.001982
AES,10,128,26,0.020302,0.021546,0.005742,0.002028,0.005778,0.002050
AES,10,128,27,0.017605,0.021569,0.005814,0.002077,0.005631,0.001971
AES,10,128,28,0.017634,0.018832,0.005703,0.002043,0.005766,0.002052
AES,10,128,29,0.017690,0.018818,0.005846,0.001963,0.005647,0.001986
AES,10,128,30,0.017669,0.024098,0.005712,0.002004,0.005778,0.002007
AES,10,128,31,0.017665,0.018896,0.005868,0.002039,0.005696,0.002984
AES,10,256,1,0.020568,0.024179,0.007310,0.001958,0.005675,0.002000
AES,10,256,2,0.020299,0.026696,0.005804,0.002013,0.005790,0.002081
AES,10,256,3,0.020264,0.021419,0.005856,0.002115,0.005761,0.001979
AES,10,256,4,0.020490,0.021438,0.005819,0.002032,0.005802,0.001994
AES,10,256,5,0.020396,0.021450,0.005900,0.002023,0.005710,0.002072
AES,10,256,6,0.020251,0.021400,0.005811,0.001982,0.005771,0.002102
AES,10,256,7,0.024731,0.026739,0.005921,0.002070,0.005746,0.002028
AES,10,256,8,0.020296,0.021424,0.005764,0.002102,0.005801,0.002011
AES,10,256,9,0.020531,0.021357,0.005855,0.002027,0.005724,0.002055
AES,10,256,10,0.020298,0.021469,0.005806,0.002074,0.005817,0.002134
AES,10,256,11,0.022864,0.026739,0.005885,0.002037,0.005752,0.002028
AES,10,256,12,0.020327,0.021528,0.005845,0.002038,0.005774,0.002117
AES,10,256,13,0.020476,0.021478,0.005892,0.002101,0.005727,0.003024
AES,10,256,14,0.020382,0.021428,0.005871,0.002045,0.005669,0.001827
AES,10,256,15,0.020673,0.024187,0.005702,0.002006,0.005684,0.001988
AES,10,256,16,0.023001,0.024264,0.005769,0.001969,0.005847,0.002080
AES,10,256,17,0.020236,0.024119,0.005898,0.002128,0.005697,0.001990
AES,10,256,18,0.020353,0.021401,0.005785,0.002020,0.005815,0.002106
AES,10,256,19,0.020400,0.026668,0.005901,0.002073,0.005734,0.001924
AES,10,256,20,0.020290,0.021479,0.005742,0.002029,0.005814,0.002084
