algoritmo,size_mb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
SHA256,100,22,0.053230,0.093620,0.045185
SHA256,100,23,0.053224,0.090523,0.045693
SHA256,100,24,0.053254,0.094310,0.045291
SHA256,100,25,0.053224,0.087133,0.045787
SHA256,100,26,0.053247,0.099956,0.045304
SHA256,100,27,0.053263,0.086604,0.045621
SHA256,100,28,0.053245,0.093359,0.045164
SHA256,100,29,0.053254,0.087214,0.045659
SHA256,100,30,0.053248,0.096099,0.044973
SHA256,100,31,0.053265,0.090186,0.045487
SHA256,1000,1,0.532114,1.057561,0.377172
SHA256,1000,2,0.531726,1.033329,0.413744
SHA256,1000,3,0.531920,1.029901,0.406280
SHA256,1000,4,0.531873,1.049493,0.417776
SHA256,1000,5,0.531775,1.052419,0.411226
SHA256,1000,6,0.531958,1.056390,0.417493
SHA256,1000,7,0.531903,1.059490,0.414147
SHA256,1000,8,0.531762,1.039097,0.410732
SHA256,1000,9,0.531905,4.507029,0.423971
SHA256,1000,10,0.531872,8.893024,0.426208
SHA256,1000,11,0.531909,7.627711,0.423430
SHA256,1000,12,0.531938,1.106588,0.416285
SHA256,1000,13,0.532007,1.027212,0.408452
SHA256,1000,14,0.531994,1.064534,0.416674
SHA256,1000,15,0.531688,1.060766,0.411912
SHA256,1000,16,0.532060,1.049765,0.416315
SHA256,1000,17,0.532006,1.057441,0.409115
SHA256,1000,18,0.531973,1.053581,0.414062
SHA256,1000,19,0.531815,1.062446,0.407885
SHA256,1000,20,0.531889,1.054730,0.412791
SHA256,1000,21,0.531662,8.719960,0.423914
SHA256,1000,22,0.532319,9.579119,0.426025
SHA256,1000,23,0.531872,3.909811,0.415468
SHA256,1000,24,0.531796,1.017717,0.409489
SHA256,1000,25,0.533129,1.055189,0.409975
SHA256,1000,26,0.533220,1.063629,0.402998
SHA256,1000,27,0.533273,1.070217,0.411619
SHA256,1000,28,0.531944,1.035959,0.412321
SHA256,1000,29,0.532383,1.058614,0.411368
SHA256,1000,30,0.532128,1.025196,0.403216
SHA256,1000,31,0.531899,1.051424,0.417898
SHA3_256,1,1,0.002297,0.000691,0.039363
SHA3_256,1,2,0.002220,0.000513,0.000157
SHA3_256,1,3,0.002273,0.000508,0.000155
SHA3_256,1,4,0.002196,0.000497,0.000159
SHA3_256,1,5,0.002196,0.000502,0.000153
SHA3_256,1,6,0.002192,0.000501,0.000169
SHA3_256,1,7,0.002190,0.000503,0.000160
SHA3_256,1,8,0.002206,0.000502,0.000150
SHA3_256,1,9,0.002196,0.000510,0.000155
SHA3_256,1,10,0.002211,0.000498,0.000162
SHA3_256,1,11,0.002264,0.000513,0.000149
SHA3_256,1,12,0.002194,0.000510,0.000157
SHA3_256,1,13,0.002197,0.000505,0.000174
SHA3_256,1,14,0.002289,0.000510,0.000153
SHA3_256,1,15,0.002193,0.000518,0.000166
SHA3_256,1,16,0.002244,0.000516,0.000159
SHA3_256,1,17,0.002270,0.000532,0.000165
SHA3_256,1,18,0.002196,0.000520,0.000157
SHA3_256,1,19,0.002195,0.000515,0.000170
SHA3_256,1,20,0.002309,0.000512,0.000151
SHA3_256,1,21,0.002197,0.000521,0.000172
SHA3_256,1,22,0.002187,0.000502,0.000159
SHA3_256,1,23,0.002224,0.000524,0.000151
SHA3_256,1,24,0.002197,0.000520,0.000154
SHA3_256,1,25,0.002199,0.000501,0.000162
SHA3_256,1,26,0.002195,0.000504,0.000152
SHA3_256,1,27,0.002285,0.000507,0.000156
SHA3_256,1,28,0.002264,0.000499,0.000157
SHA3_256,1,29,0.002199,0.000513,0.000150
SHA3_256,1,30,0.002240,0.000523,0.000159
SHA3_256,1,31,0.002203,0.000508,0.000158
SHA3_256,10,1,0.021965,0.006216,0.003769
SHA3_256,10,2,0.022558,0.005350,0.001831
SHA3_256,10,3,0.021849,0.005615,0.001905
SHA3_256,10,4,0.021892,0.005617,0.001885
SHA3_256,10,5,0.021863,0.005546,0.001890
SHA3_256,10,6,0.022068,0.005596,0.001892
SHA3_256,10,7,0.022301,0.005660,0.001901
SHA3_256,10,8,0.021861,0.005566,0.001855
SHA3_256,10,9,0.021924,0.005725,0.001898
SHA3_256,10,10,0.021892,0.005659,0.001922
SHA3_256,10,11,0.022133,0.005582,0.001909
SHA3_256,10,12,0.022623,0.005620,0.001925
SHA3_256,10,13,0.021885,0.005704,0.001898
SHA3_256,10,14,0.022095,0.005514,0.001868
SHA3_256,10,15,0.021836,0.005691,0.001891
SHA3_256,10,16,0.021936,0.005632,0.001913
SHA3_256,10,17,0.022588,0.005581,0.001894
SHA3_256,10,18,0.022090,0.005669,0.002115
SHA3_256,10,19,0.021856,0.005676,0.001912
SHA3_256,10,20,0.021852,0.005582,0.001877
SHA3_256,10,21,0.022134,0.005757,0.001881
SHA3_256,10,22,0.022772,0.005740,0.001959
SHA3_256,10,23,0.021862,0.005615,0.001923
SHA3_256,10,24,0.021848,0.005730,0.001896
SHA3_256,10,25,0.021959,0.005667,0.001967
