stage,stage_name,workers,objects,input_stage_seconds,input_compression_seconds,input_hash_seconds,input_crypto_seconds,application_seconds,output_stage_seconds,output_compression_seconds,output_hash_seconds,output_crypto_seconds,total_seconds,input_requirement_1,input_requirement_1_seconds,input_requirement_2,input_requirement_2_seconds,input_requirement_3,input_requirement_3_seconds,output_requirement_1,output_requirement_1_seconds,output_requirement_2,output_requirement_2_seconds,output_requirement_3,output_requirement_3_seconds
1,stage1,8,100,0.000000,0.000000,0.000000,0.000000,56.263474,53.558526,17.852842,17.852842,17.852842,109.822000,,0.000000,,0.000000,,0.000000,compress:ZSTD,17.852842,encrypt:RS,17.852842,hash_calculate:SHA3_256,17.852842
2,stage2,8,100,53.558526,17.852842,17.852842,17.852842,20.230644,53.558517,17.852839,17.852839,17.852839,127.347687,hash_verify:SHA3_256,17.852842,unencrypt:RS,17.852842,uncompress:ZSTD,17.852842,compress:ZSTD,17.852839,encrypt:RS,17.852839,hash_calculate:SHA3_256,17.852839
3,stage3,8,100,53.558536,17.852845,17.852845,17.852845,28.150795,53.558536,17.852845,17.852845,17.852845,135.267866,hash_verify:SHA3_256,17.852845,unencrypt:RS,17.852845,uncompress:ZSTD,17.852845,compress:ZSTD,17.852845,encrypt:RS,17.852845,hash_calculate:SHA3_256,17.852845
4,stage4,8,100,53.558536,17.852845,17.852845,17.852845,28.896507,53.558523,17.852845,17.852833,17.852845,136.013566,hash_verify:SHA3_256,17.852845,unencrypt:RS,17.852845,uncompress:ZSTD,17.852845,compress:ZSTD,17.852845,encrypt:RS,17.852845,hash_calculate:SHA3_256,17.852833
