stage,stage_name,workers,objects,input_stage_seconds,input_compression_seconds,input_hash_seconds,input_crypto_seconds,application_seconds,output_stage_seconds,output_compression_seconds,output_hash_seconds,output_crypto_seconds,total_seconds,input_requirement_1,input_requirement_1_seconds,input_requirement_2,input_requirement_2_seconds,input_requirement_3,input_requirement_3_seconds,output_requirement_1,output_requirement_1_seconds,output_requirement_2,output_requirement_2_seconds,output_requirement_3,output_requirement_3_seconds
1,stage1,8,100,0.000000,0.000000,0.000000,0.000000,275.159790,301.134871,101.965899,199.168972,0.000000,576.294661,,0.000000,,0.000000,,0.000000,hash_calculate:SHA256,199.168972,compress:ZLIB,101.965899,,0.000000
2,stage2,8,100,115.152287,38.561615,76.590672,0.000000,95.661819,182.919363,0.000000,91.325193,91.594169,393.733468,uncompress:ZLIB,38.561615,hash_verify:SHA256,76.590672,,0.000000,encrypt:RS,91.594169,hash_calculate:BLAKE3,91.325193,,0.000000
3,stage3,8,100,636.025641,0.000000,317.870863,318.154778,336.882812,189.314186,153.608521,17.852833,17.852833,1162.222640,hash_verify:BLAKE3,317.870863,unencrypt:RS,318.154778,,0.000000,compress:LZ4,153.608521,encrypt:RS,17.852833,hash_calculate:SHA3_256,17.852833
4,stage4,8,100,112.897480,77.191814,17.852833,17.852833,145.564407,91.625195,0.000000,91.625195,0.000000,350.087082,hash_verify:SHA3_256,17.852833,unencrypt:RS,17.852833,uncompress:LZ4,77.191814,hash_calculate:SHA256,91.625195,,0.000000,,0.000000
