stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,1.884163,0.235520,2116.613770,264.576721
1,stage1,output,0,hash_calculate,SHA256,8,1.765925,0.220741,1516.142988,189.517874
1,stage1,output,1,compress,ZLIB,8,0.586674,0.073334,775.471129,96.933891
1,stage1,combined,-1,combined,,24,4.236762,0.176532,4408.227887,183.676162
2,stage2,input,0,uncompress,ZLIB,8,0.578036,0.072255,293.430819,36.678852
2,stage2,input,1,hash_verify,SHA256,8,0.600593,0.075074,582.552246,72.819031
2,stage2,application,0,application,,8,0.605773,0.075722,727.543455,90.942932
2,stage2,output,0,encrypt,RS,8,0.629289,0.078661,696.618553,87.077319
2,stage2,output,1,hash_calculate,BLAKE3,8,0.623276,0.077910,694.573612,86.821702
2,stage2,combined,-1,combined,,40,3.036968,0.075924,2994.718685,74.867967
3,stage3,input,0,hash_verify,BLAKE3,8,2.242271,0.280284,2445.160463,305.645058
3,stage3,input,1,unencrypt,RS,8,2.073884,0.259235,2447.344418,305.918052
3,stage3,application,0,application,,8,2.067310,0.258414,2591.406250,323.925781
3,stage3,output,0,compress,LZ4,8,0.578569,0.072321,1168.091712,146.011464
3,stage3,output,1,encrypt,RS,8,0.566145,0.070768,133.735859,16.716982
3,stage3,output,2,hash_calculate,SHA3_256,8,0.553245,0.069156,133.929142,16.741143
3,stage3,combined,-1,combined,,48,8.081424,0.168363,8919.667844,185.826413
4,stage4,input,0,hash_verify,SHA3_256,8,0.547341,0.068418,133.634521,16.704315
4,stage4,input,1,unencrypt,RS,8,0.530241,0.066280,133.634521,16.704315
4,stage4,input,2,uncompress,LZ4,8,0.561607,0.070201,587.122536,73.390317
4,stage4,application,0,application,,8,0.541680,0.067710,1106.935140,138.366893
4,stage4,output,0,hash_calculate,SHA256,8,0.543695,0.067962,696.854458,87.106807
4,stage4,combined,-1,combined,,40,2.724564,0.068114,2658.181177,66.454529
