stage,stage_name,workers,objects,input_stage_seconds,input_compression_seconds,input_hash_seconds,input_crypto_seconds,application_seconds,output_stage_seconds,output_compression_seconds,output_hash_seconds,output_crypto_seconds,total_seconds,input_requirement_1,input_requirement_1_seconds,input_requirement_2,input_requirement_2_seconds,input_requirement_3,input_requirement_3_seconds,output_requirement_1,output_requirement_1_seconds,output_requirement_2,output_requirement_2_seconds,output_requirement_3,output_requirement_3_seconds
1,stage1,1,100,0.000000,0.000000,0.000000,0.000000,451.498413,304.867196,152.433598,152.433598,0.000000,756.365609,,0.000000,,0.000000,,0.000000,hash_calculate:SHA256,152.433598,compress:ZLIB,152.433598,,0.000000
2,stage2,1,100,304.867196,152.433598,152.433598,0.000000,152.433594,304.867208,0.000000,152.433610,152.433598,762.167998,uncompress:ZLIB,152.433598,hash_verify:SHA256,152.433598,,0.000000,encrypt:RS,152.433598,hash_calculate:BLAKE3,152.433610,,0.000000
3,stage3,1,100,304.867208,0.000000,152.433586,152.433622,209.802567,457.300735,152.433562,152.433586,152.433586,971.970510,hash_verify:BLAKE3,152.433586,unencrypt:RS,152.433622,,0.000000,compress:LZ4,152.433562,encrypt:RS,152.433586,hash_calculate:SHA3_256,152.433586
4,stage4,1,100,457.300806,152.433586,152.433634,152.433586,215.474960,152.433586,0.000000,152.433586,0.000000,825.209352,hash_verify:SHA3_256,152.433634,unencrypt:RS,152.433586,uncompress:LZ4,152.433586,hash_calculate:SHA256,152.433586,,0.000000,,0.000000
