stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.580082,0.072510,425.224519,53.153065
1,stage1,output,0,hash_calculate,SHA256,8,0.660774,0.082597,134.257288,16.782161
1,stage1,output,1,compress,ZLIB,8,0.849603,0.106200,133.861795,16.732724
1,stage1,combined,-1,combined,,24,2.090459,0.087102,693.343602,28.889317
2,stage2,input,0,uncompress,ZLIB,8,0.841637,0.105205,133.861795,16.732724
2,stage2,input,1,hash_verify,SHA256,8,0.826238,0.103280,133.861789,16.732724
2,stage2,application,0,application,,8,0.804115,0.100514,155.223828,19.402978
2,stage2,output,0,encrypt,RS,8,0.713180,0.089148,133.861796,16.732725
2,stage2,output,1,hash_calculate,BLAKE3,8,0.684394,0.085549,133.861783,16.732723
2,stage2,combined,-1,combined,,40,3.869564,0.096739,690.670991,17.266775
3,stage3,input,0,hash_verify,BLAKE3,8,0.663985,0.082998,138.124037,17.265505
3,stage3,input,1,unencrypt,RS,8,0.633297,0.079162,138.248969,17.281121
3,stage3,application,0,application,,8,0.599570,0.074946,212.902892,26.612862
3,stage3,output,0,compress,LZ4,8,0.613572,0.076697,133.861780,16.732722
3,stage3,output,1,encrypt,RS,8,0.656610,0.082076,133.861810,16.732726
3,stage3,output,2,hash_calculate,SHA3_256,8,0.701009,0.087626,133.861777,16.732722
3,stage3,combined,-1,combined,,48,3.868044,0.080584,890.861265,18.559610
4,stage4,input,0,hash_verify,SHA3_256,8,0.812562,0.101570,133.861783,16.732723
4,stage4,input,1,unencrypt,RS,8,0.818497,0.102312,133.861783,16.732723
4,stage4,input,2,uncompress,LZ4,8,0.731228,0.091403,133.861793,16.732724
4,stage4,application,0,application,,8,0.663695,0.082962,218.534899,27.316862
4,stage4,output,0,hash_calculate,SHA256,8,0.584070,0.073009,133.861801,16.732725
4,stage4,combined,-1,combined,,40,3.610051,0.090251,753.982058,18.849551
