task,duration_seconds
edge_acquisition,0.5158
edge_acquisition,0.5130
edge_acquisition,0.5221
edge_acquisition,0.5408
edge_acquisition,0.5288
edge_acquisition,0.5422
edge_acquisition,0.5396
edge_acquisition,0.5675
edge_acquisition,0.5615
edge_acquisition,0.5760
integrity_out,0.3084
integrity_out,0.3165
integrity_out,0.3097
integrity_out,0.3074
integrity_out,0.3106
integrity_out,0.3106
integrity_out,0.3160
integrity_out,0.3098
integrity_out,0.3197
integrity_out,0.3176
compress_out,0.4679
decrypt_in,0.4690
compress_out,0.4742
decrypt_in,0.4749
compress_out,0.5081
decrypt_in,0.5091
compress_out,0.5093
decrypt_in,0.5099
compress_out,0.4894
decrypt_in,0.4899
compress_out,0.5171
decrypt_in,0.5177
compress_out,0.5023
decrypt_in,0.5029
compress_out,0.5196
decrypt_in,0.5201
compress_out,0.5103
decrypt_in,0.5110
compress_out,0.5362
decrypt_in,0.5369
encrypt_out,0.1242
decode_in,0.1252
encrypt_out,0.1303
decode_in,0.1312
encrypt_out,0.1124
decode_in,0.1132
encrypt_out,0.1223
decode_in,0.1232
encrypt_out,0.1608
encrypt_out,0.1272
decode_in,0.1618
decode_in,0.1284
encrypt_out,0.1569
decode_in,0.1574
encrypt_out,0.1559
encrypt_out,0.1517
decode_in,0.1567
decode_in,0.1526
encrypt_out,0.1431
decode_in,0.1437
encode_out,0.2831
encode_out,0.2896
encode_out,0.2942
encode_out,0.2920
encode_out,0.3005
encode_out,0.2880
encode_out,0.2931
encode_out,0.2930
encode_out,0.3263
encode_out,0.3123
encrypt_out,0.1693
decode_in,0.1704
encrypt_out,0.1924
decode_in,0.1931
encrypt_out,0.1793
decode_in,0.1801
encrypt_out,0.1760
decode_in,0.1769
encrypt_out,0.1735
encrypt_out,0.1775
decode_in,0.1744
decode_in,0.1785
encrypt_out,0.1874
decode_in,0.1880
encrypt_out,0.1776
decode_in,0.1784
encrypt_out,0.1811
decode_in,0.1818
encrypt_out,0.1807
decode_in,0.1814
decrypt_in,0.1145
decrypt_in,0.1117
decrypt_in,0.1044
decrypt_in,0.1126
decrypt_in,0.1142
decrypt_in,0.2112
decrypt_in,0.1493
decrypt_in,0.1571
decrypt_in,0.1685
decrypt_in,0.1712
decompress_in,0.6950
decompress_in,0.6734
decompress_in,0.7102
decompress_in,0.7739
decompress_in,0.6407
decompress_in,0.6520
decompress_in,0.6690
decompress_in,0.7475
decompress_in,0.6765
decompress_in,0.7169
verify_in,0.3247
verify_in,0.3264
verify_in,0.3271
verify_in,0.3481
verify_in,0.3449
verify_in,0.4042
verify_in,0.4444
verify_in,0.4207
verify_in,0.4555
verify_in,0.4795
fog_preprocessing,7.3159
fog_preprocessing,7.1024
fog_preprocessing,7.2765
integrity_out,0.0133
integrity_out,0.0138
integrity_out,0.0133
fog_preprocessing,7.0707
compress_out,0.0201
decrypt_in,0.0206
fog_preprocessing,7.1816
compress_out,0.0195
decrypt_in,0.0201
compress_out,0.0194
decrypt_in,0.0199
integrity_out,0.0094
fog_preprocessing,7.2390
fog_preprocessing,7.3853
integrity_out,0.0116
fog_preprocessing,7.4796
encrypt_out,0.0226
decode_in,0.0234
integrity_out,0.0093
encrypt_out,0.0227
decode_in,0.0232
integrity_out,0.0094
encrypt_out,0.0135
decode_in,0.0140
integrity_out,0.0090
compress_out,0.0321
decrypt_in,0.0327
compress_out,0.0198
decrypt_in,0.0202
compress_out,0.0147
decrypt_in,0.0153
encode_out,0.0221
compress_out,0.0169
decrypt_in,0.0173
encrypt_out,0.0098
decode_in,0.0102
encode_out,0.0256
encode_out,0.0207
encrypt_out,0.0103
compress_out,0.0184
decode_in,0.0112
encrypt_out,0.0086
decrypt_in,0.0189
decode_in,0.0093
encrypt_out,0.0196
decode_in,0.0201
encrypt_out,0.0112
encrypt_out,0.0345
decode_in,0.0117
decode_in,0.0351
encode_out,0.0296
encode_out,0.0208
encrypt_out,0.0295
decode_in,0.0300
encode_out,0.0217
encrypt_out,0.0289
decode_in,0.0294

fog_preprocessing,7.3542
encode_out,0.0235
fog_preprocessing,7.3310
decrypt_in,0.0267
encrypt_out,0.0324
decrypt_in,0.0229
decode_in,0.0331
integrity_out,0.0126
encrypt_out,0.0301
decode_in,0.0308
integrity_out,0.0103
encrypt_out,0.0287
decode_in,0.0292
decrypt_in,0.0271
encrypt_out,0.0298
decode_in,0.0303
encrypt_out,0.0305
decode_in,0.0310
decompress_in,0.0281
compress_out,0.0177
decrypt_in,0.0183
decrypt_in,0.0250
decrypt_in,0.0241
compress_out,0.0225
decrypt_in,0.0232
19
verify_in,0.0091
decrypt_in,0.0280
encrypt_out,0.0090
decode_in,0.0096
decrypt_in,0.0237
decompress_in,0.0301
decrypt_in,0.0251
encrypt_out,0.0130
decode_in,0.0135
decompress_in,0.0255
verify_in,0.0095
decompress_in,0.0276
verify_in,0.0090
encode_out,0.0250
verify_in,0.0093
decompress_in,0.0257
verify_in,0.0093
encode_out,0.0236
decompress_in,0.0216
decompress_in,0.0722
verify_in,0.0621
verify_in,0.0529
verify_in,0.0171
encrypt_out,0.2768
decode_in,0.2942
decrypt_in,0.0511
encrypt_out,0.3891
decode_in,0.3904
decompress_in,0.0263
decrypt_in,0.0247
verify_in,0.0084
decompress_in,0.0531
verify_in,0.0101
cloud_inference,23.4809
cloud_inference,23.5310
cloud_inference,24.0510
cloud_inference,24.3320
cloud_inference,24.6279
cloud_inference,24.9912
cloud_inference,24.6098
cloud_inference,25.0253
cloud_inference,24.7711
cloud_inference,25.4611
