task,duration_seconds
edge_acquisition,0.5292
integrity_out,0.2686
compress_out,0.4050
decrypt_in,0.4068
encrypt_out,0.0952
decode_in,0.0964
encode_out,0.2212
encrypt_out,0.1863
decode_in,0.1877
decrypt_in,0.0929
decompress_in,0.5817
verify_in,0.2622
fog_preprocessing,6.4440
integrity_out,0.0104
compress_out,0.0248
decrypt_in,0.0254
encrypt_out,0.0220
decode_in,0.0232
encode_out,0.0353
encrypt_out,0.0413
decode_in,0.0423
decrypt_in,0.0262
decompress_in,0.0319
verify_in,0.0085
cloud_inference,6.5734
