task,duration_seconds
edge_acquisition,0.5575
integrity_out,0.2698
compress_out,0.4299
decrypt_in,0.4314
encrypt_out,0.1082
decode_in,0.1096
encode_out,0.2306
encrypt_out,0.1928
decode_in,0.1943
decrypt_in,0.0957
decompress_in,0.6013
verify_in,0.2719
fog_preprocessing,6.4718
integrity_out,0.0107
compress_out,0.0220
decrypt_in,0.0227
encrypt_out,0.0234
decode_in,0.0239
encode_out,0.0233
encrypt_out,0.0386
decode_in,0.0394
decrypt_in,0.0297
decompress_in,0.0318
verify_in,0.0085
cloud_inference,6.9846
