task,duration_seconds
edge_acquisition,0.5820
integrity_out,0.2701
compress_out,0.4479
decrypt_in,0.4487
encrypt_out,0.0997
decode_in,0.1012
encode_out,0.2272
encrypt_out,0.1780
decode_in,0.1794
decrypt_in,0.1184
decompress_in,0.6280
verify_in,0.2703
fog_preprocessing,6.4984
integrity_out,0.0132
compress_out,0.0238
decrypt_in,0.0245
encrypt_out,0.0210
decode_in,0.0216
encode_out,0.0385
encrypt_out,0.0393
decode_in,0.0401
decrypt_in,0.0252
decompress_in,0.0282
verify_in,0.0080
cloud_inference,6.6183
