task,duration_seconds
edge_acquisition,5.2649
integrity_out,0.2854
compress_out,0.4329
decrypt_in,0.4341
encrypt_out,0.1129
decode_in,0.1137
encode_out,0.2767
encrypt_out,0.1976
decode_in,0.1992
decrypt_in,0.1207
decompress_in,0.8271
verify_in,0.2728
fog_preprocessing,6.4465
integrity_out,0.0108
compress_out,0.0238
decrypt_in,0.0243
encrypt_out,0.0118
decode_in,0.0123
encode_out,0.0362
encrypt_out,0.0379
decode_in,0.0386
decrypt_in,0.0257
decompress_in,0.0310
verify_in,0.0076
cloud_inference,6.3912
