task,duration_seconds
edge_acquisition,0.5744
edge_acquisition,0.5675
edge_acquisition,0.5760
edge_acquisition,0.5833
edge_acquisition,0.5371
edge_acquisition,0.5388
edge_acquisition,0.5703
edge_acquisition,0.5702
edge_acquisition,0.5442
edge_acquisition,0.5612
edge_acquisition,0.5710
edge_acquisition,0.5942
edge_acquisition,0.5699
edge_acquisition,0.5946
edge_acquisition,0.6061
edge_acquisition,0.6433
edge_acquisition,0.5881
edge_acquisition,0.5906
edge_acquisition,0.6334
edge_acquisition,0.5932
edge_acquisition,0.5634
edge_acquisition,0.5904
edge_acquisition,0.5591
edge_acquisition,0.5939
edge_acquisition,0.6044
edge_acquisition,0.5487
edge_acquisition,0.5752
edge_acquisition,0.5841
edge_acquisition,0.5623
edge_acquisition,0.5830
edge_acquisition,0.5821
edge_acquisition,0.5978
edge_acquisition,0.5725
edge_acquisition,0.5840
edge_acquisition,0.6452
edge_acquisition,0.5839
edge_acquisition,0.5688
edge_acquisition,0.5964
edge_acquisition,0.5960
edge_acquisition,0.5967
edge_acquisition,0.6083
edge_acquisition,0.5703
edge_acquisition,0.5746
edge_acquisition,0.5623
edge_acquisition,0.5719
edge_acquisition,0.5842
edge_acquisition,0.5875
edge_acquisition,0.5906
edge_acquisition,0.6229
edge_acquisition,0.6486
edge_acquisition,0.6413
edge_acquisition,0.6424
edge_acquisition,0.5590
edge_acquisition,0.5884
edge_acquisition,0.5773
edge_acquisition,0.6162
edge_acquisition,0.6175
edge_acquisition,0.5782
edge_acquisition,0.6175
edge_acquisition,0.5842
edge_acquisition,0.5711
edge_acquisition,0.5821
edge_acquisition,0.5812
edge_acquisition,0.6027
edge_acquisition,0.6056
edge_acquisition,0.6137
edge_acquisition,0.6011
edge_acquisition,0.6047
edge_acquisition,0.6046
edge_acquisition,0.6081
edge_acquisition,0.5735
edge_acquisition,0.5898
edge_acquisition,0.5683
edge_acquisition,0.5362
edge_acquisition,0.5420
edge_acquisition,0.5579
edge_acquisition,0.5539
edge_acquisition,0.5586
edge_acquisition,0.5704
edge_acquisition,0.5911
edge_acquisition,0.5441
edge_acquisition,0.6034
edge_acquisition,0.5804
edge_acquisition,0.6015
edge_acquisition,0.5847
edge_acquisition,0.5367
edge_acquisition,0.5433
edge_acquisition,0.5462
edge_acquisition,0.5272
edge_acquisition,0.5409
edge_acquisition,0.5315
edge_acquisition,0.5476
edge_acquisition,0.5471
edge_acquisition,0.5664
edge_acquisition,0.5558
edge_acquisition,0.5972
integrity_out,0.3158
edge_acquisition,0.5604
integrity_out,0.3450
edge_acquisition,0.5594
integrity_out,0.3434
integrity_out,0.3458
integrity_out,0.3139
integrity_out,0.3160
edge_acquisition,0.5930
edge_acquisition,0.5754
integrity_out,0.3044
integrity_out,0.3262
integrity_out,0.2868
integrity_out,0.2751
integrity_out,0.2868
integrity_out,0.2871
integrity_out,0.2965
integrity_out,0.3094
integrity_out,0.3139
integrity_out,0.3109
integrity_out,0.3089
integrity_out,0.3178
integrity_out,0.3116
integrity_out,0.3081
integrity_out,0.3056
integrity_out,0.3141
integrity_out,0.3060
integrity_out,0.3150
integrity_out,0.3062
integrity_out,0.3038
integrity_out,0.3074
integrity_out,0.3189
integrity_out,0.2971
integrity_out,0.2940
integrity_out,0.2825
integrity_out,0.3085
integrity_out,0.3110
integrity_out,0.3245
integrity_out,0.3164
integrity_out,0.3394
integrity_out,0.2847
integrity_out,0.2993
integrity_out,0.2790
integrity_out,0.2757
integrity_out,0.3072
integrity_out,0.2951
integrity_out,0.2958
integrity_out,0.3059
integrity_out,0.2961
integrity_out,0.2938
integrity_out,0.3082
integrity_out,0.2957
integrity_out,0.2992
integrity_out,0.3012
integrity_out,0.3132
integrity_out,0.3035
integrity_out,0.3048
integrity_out,0.2989
integrity_out,0.3172
integrity_out,0.3024
integrity_out,0.3045
integrity_out,0.3006
integrity_out,0.3224
integrity_out,0.3085
integrity_out,0.3106
integrity_out,0.2962
integrity_out,0.3363
integrity_out,0.3157
integrity_out,0.3163
integrity_out,0.3194
integrity_out,0.3072
integrity_out,0.2875
integrity_out,0.2894
integrity_out,0.2922
integrity_out,0.3242
integrity_out,0.2977
integrity_out,0.3001
integrity_out,0.3070
integrity_out,0.3061
integrity_out,0.3286
integrity_out,0.3097
integrity_out,0.3097
integrity_out,0.3113
integrity_out,0.3107
integrity_out,0.3345
integrity_out,0.3097
integrity_out,0.3082
integrity_out,0.3060
integrity_out,0.3235
integrity_out,0.3091
integrity_out,0.3072
integrity_out,0.3108
integrity_out,0.3331
integrity_out,0.2978
integrity_out,0.3102
integrity_out,0.3289
integrity_out,0.3151
integrity_out,0.3112
integrity_out,0.3170
integrity_out,0.3193
integrity_out,0.3236
compress_out,0.5453
decrypt_in,0.5467
integrity_out,0.3315
compress_out,0.4859
decrypt_in,0.4872
compress_out,0.4684
decrypt_in,0.4691
compress_out,0.4645
decrypt_in,0.4659
integrity_out,0.3141
compress_out,0.5091
decrypt_in,0.5099
compress_out,0.4377
decrypt_in,0.4388
integrity_out,0.3198
compress_out,0.4570
decrypt_in,0.4583
compress_out,0.4569
decrypt_in,0.4576
compress_out,0.4423
decrypt_in,0.4432
compress_out,0.4694
decrypt_in,0.4710
compress_out,0.4693
decrypt_in,0.4708
compress_out,0.4574
decrypt_in,0.4581
compress_out,0.4492
decrypt_in,0.4504
compress_out,0.4453
decrypt_in,0.4469
compress_out,0.4630
decrypt_in,0.4646
compress_out,0.4568
decrypt_in,0.4577
compress_out,0.4469
decrypt_in,0.4478
compress_out,0.4331
decrypt_in,0.4342
compress_out,0.4491
decrypt_in,0.4499
compress_out,0.4466
decrypt_in,0.4475
compress_out,0.4385
decrypt_in,0.4394
compress_out,0.4297
decrypt_in,0.4306
compress_out,0.4610
decrypt_in,0.4624
compress_out,0.4673
decrypt_in,0.4686
compress_out,0.4427
decrypt_in,0.4433
compress_out,0.4266
decrypt_in,0.4282
compress_out,0.4489
decrypt_in,0.4501
compress_out,0.4503
decrypt_in,0.4511
compress_out,0.4404
decrypt_in,0.4411
compress_out,0.4292
decrypt_in,0.4310
compress_out,0.4466
decrypt_in,0.4475
compress_out,0.4480
compress_out,0.4448
decrypt_in,0.4494
decrypt_in,0.4463
compress_out,0.4273
