task,duration_seconds
edge_acquisition,0.6190
integrity_out,0.3112
compress_out,0.4259
decrypt_in,0.4272
encrypt_out,0.1089
decode_in,0.1101
encode_out,0.2410
encrypt_out,0.1747
decode_in,0.1762
decrypt_in,0.0945
decompress_in,0.7313
verify_in,0.2702
fog_preprocessing,6.3768
integrity_out,0.0109
compress_out,0.0186
decrypt_in,0.0191
encrypt_out,0.0115
decode_in,0.0121
encode_out,0.0448
encrypt_out,0.0392
decode_in,0.0401
decrypt_in,0.0248
decompress_in,0.0291
verify_in,0.0078
cloud_inference,6.3966
