task,duration_seconds
edge_acquisition,0.5674
edge_acquisition,0.6826
edge_acquisition,0.5939
edge_acquisition,0.5571
edge_acquisition,0.5644
edge_acquisition,0.5342
edge_acquisition,0.5532
edge_acquisition,0.5788
edge_acquisition,0.5804
edge_acquisition,0.5648
integrity_out,0.3142
integrity_out,0.3093
integrity_out,0.2677
integrity_out,0.2716
integrity_out,0.2719
integrity_out,0.2740
integrity_out,0.2651
integrity_out,0.2708
integrity_out,0.2654
integrity_out,0.2777
compress_out,0.4497
decrypt_in,0.4511
compress_out,0.4468
decrypt_in,0.4483
compress_out,0.4320
decrypt_in,0.4329
compress_out,0.4438
decrypt_in,0.4448
compress_out,0.4805
decrypt_in,0.4821
compress_out,0.4323
decrypt_in,0.4335
compress_out,0.4272
decrypt_in,0.4286
compress_out,0.4215
decrypt_in,0.4223
compress_out,0.4431
decrypt_in,0.4444
compress_out,0.4465
decrypt_in,0.4472
encrypt_out,0.1081
decode_in,0.1095
encrypt_out,0.1054
decode_in,0.1062
encrypt_out,0.0927
decode_in,0.0945
encrypt_out,0.0954
decode_in,0.0961
encrypt_out,0.0910
decode_in,0.0924
encrypt_out,0.0905
decode_in,0.0912
encrypt_out,0.0908
decode_in,0.0922
encrypt_out,0.0936
decode_in,0.0942
encrypt_out,0.0915
decode_in,0.0929
encrypt_out,0.0925
decode_in,0.0932
encode_out,0.2599
encode_out,0.2428
encrypt_out,0.1918
encrypt_out,0.1799
decode_in,0.1931
decode_in,0.1809
encode_out,0.2373
encode_out,0.2381
decrypt_in,0.1044
decrypt_in,0.1094
encrypt_out,0.1675
decode_in,0.1690
encode_out,0.2413
encrypt_out,0.1731
decode_in,0.1738
encode_out,0.2355
encode_out,0.2596
encode_out,0.2284
encode_out,0.2384
decompress_in,0.6053
decompress_in,0.6288
decrypt_in,0.0888
decrypt_in,0.0884
encrypt_out,0.1629
decode_in,0.1639
encrypt_out,0.1683
decode_in,0.1693
encrypt_out,0.1703
decode_in,0.1718
encrypt_out,0.1680
decode_in,0.1689
encrypt_out,0.1663
decode_in,0.1678
encrypt_out,0.1639
decode_in,0.1647
verify_in,0.2737
verify_in,0.2674
decompress_in,0.5863
decompress_in,0.5930
decrypt_in,0.0902
decrypt_in,0.0921
decrypt_in,0.0941
decrypt_in,0.0870
decrypt_in,0.0880
decrypt_in,0.0864
fog_preprocessing,6.5259
fog_preprocessing,6.5158
verify_in,0.3061
verify_in,0.3054
decompress_in,0.6750
decompress_in,0.6821
decompress_in,0.6253
decompress_in,0.6399
decompress_in,0.6416
decompress_in,0.6420
integrity_out,0.0092
integrity_out,0.0095
fog_preprocessing,5.8784
fog_preprocessing,5.8962
verify_in,0.2719
verify_in,0.2866
verify_in,0.2665
verify_in,0.2833
verify_in,0.2784
verify_in,0.2639
compress_out,0.0650
decrypt_in,0.0660
compress_out,0.0639
decrypt_in,0.0645
integrity_out,0.0100
integrity_out,0.0135
fog_preprocessing,5.9070
fog_preprocessing,6.0226
fog_preprocessing,5.9089
fog_preprocessing,5.9193
fog_preprocessing,5.9614
encrypt_out,0.0195
decode_in,0.0200
encrypt_out,0.0122
decode_in,0.0127
compress_out,0.0180
decrypt_in,0.0186
compress_out,0.0154
decrypt_in,0.0161
integrity_out,0.0094
integrity_out,0.0090
integrity_out,0.0092
integrity_out,0.0092
fog_preprocessing,5.9793
integrity_out,0.0111
encode_out,0.0279
encode_out,0.0245
encrypt_out,0.0115
decode_in,0.0120
encrypt_out,0.0116
decode_in,0.0120
compress_out,0.0169
decrypt_in,0.0175
compress_out,0.0161
decrypt_in,0.0167
encrypt_out,0.0332
decode_in,0.0345
encrypt_out,0.0348
decode_in,0.0354
compress_out,0.0143
decrypt_in,0.0150
compress_out,0.0143
decrypt_in,0.0147
integrity_out,0.0093
compress_out,0.0141
decrypt_in,0.0147
decrypt_in,0.0242
decrypt_in,0.0213
encode_out,0.0210
encode_out,0.0192
encrypt_out,0.0088
decode_in,0.0093
encrypt_out,0.0088
decode_in,0.0092
encrypt_out,0.0085
decode_in,0.0090
encrypt_out,0.0086
decode_in,0.0091
decompress_in,0.0268
compress_out,0.0165
encrypt_out,0.0124
decrypt_in,0.0170
decode_in,0.0130
decompress_in,0.0457
encrypt_out,0.0284
decode_in,0.0291
encode_out,0.0248
encode_out,0.0251
encrypt_out,0.0274
decode_in,0.0281
verify_in,0.0087
verify_in,0.0088
decrypt_in,0.0117
encode_out,0.0217
encode_out,0.0222
encrypt_out,0.0145
decode_in,0.0151
encrypt_out,0.0261
decode_in,0.0269
encrypt_out,0.0265
decode_in,0.0270
encode_out,0.0292
decrypt_in,0.0119
encode_out,0.0187
cloud_inference,10.0038
cloud_inference,10.0204
decompress_in,0.0242
encrypt_out,0.0322
decode_in,0.0330
encrypt_out,0.0236
decode_in,0.0243
decrypt_in,0.0136
decrypt_in,0.0108
encrypt_out,0.0252
decode_in,0.0258
decompress_in,0.0400
encrypt_out,0.0240
decode_in,0.0246
verify_in,0.0088
decrypt_in,0.0103
decrypt_in,0.0093
decompress_in,0.0264
decompress_in,0.0173
verify_in,0.0083
decrypt_in,0.0108
decrypt_in,0.0094
decompress_in,0.0176
decompress_in,0.0323
verify_in,0.0070
verify_in,0.0073
cloud_inference,5.8200
decompress_in,0.0599
decompress_in,0.0266
verify_in,0.0081
verify_in,0.0079
cloud_inference,5.8968
cloud_inference,6.2061
verify_in,0.0082
verify_in,0.0092
cloud_inference,6.2357
cloud_inference,6.3568
cloud_inference,6.3632
cloud_inference,6.5479
cloud_inference,6.5063
