task,duration_seconds
edge_acquisition,0.8806
edge_acquisition,0.8130
edge_acquisition,0.9167
edge_acquisition,0.8059
edge_acquisition,0.7405
edge_acquisition,0.7704
edge_acquisition,0.6975
edge_acquisition,0.7180
edge_acquisition,0.7747
edge_acquisition,0.7125
integrity_out,0.2726
integrity_out,0.2715
integrity_out,0.2705
integrity_out,0.2707
integrity_out,0.2727
integrity_out,0.2707
integrity_out,0.2707
integrity_out,0.2708
integrity_out,0.2714
integrity_out,0.2726
compress_out,0.4250
decrypt_in,0.4260
compress_out,0.4372
decrypt_in,0.4383
compress_out,0.4216
decrypt_in,0.4229
compress_out,0.4253
decrypt_in,0.4264
compress_out,0.4224
decrypt_in,0.4239
compress_out,0.4241
decrypt_in,0.4253
compress_out,0.4241
decrypt_in,0.4256
compress_out,0.4278
decrypt_in,0.4291
compress_out,0.4210
decrypt_in,0.4226
compress_out,0.4241
decrypt_in,0.4255
encrypt_out,0.1154
decode_in,0.1165
encrypt_out,0.1025
decode_in,0.1035
encrypt_out,0.1027
decode_in,0.1037
encrypt_out,0.1038
decode_in,0.1051
encrypt_out,0.1055
decode_in,0.1065
encrypt_out,0.1009
decode_in,0.1023
encrypt_out,0.1287
decode_in,0.1299
encrypt_out,0.1070
decode_in,0.1086
encrypt_out,0.1038
decode_in,0.1048
encrypt_out,0.1033
decode_in,0.1042
encode_out,0.2776
encrypt_out,0.1923
decode_in,0.1933
encode_out,0.2835
decrypt_in,0.1127
encrypt_out,0.1851
decode_in,0.1866
encode_out,0.2854
encode_out,0.2688
encode_out,0.2829
decompress_in,0.8602
encode_out,0.2707
decrypt_in,0.1001
encrypt_out,0.1876
decode_in,0.1885
encode_out,0.2862
encrypt_out,0.1770
decode_in,0.1785
encode_out,0.2789
encrypt_out,0.1753
decode_in,0.1768
encode_out,0.2911
verify_in,0.2771
encrypt_out,0.2028
decode_in,0.2042
encode_out,0.2781
decompress_in,0.8329
decrypt_in,0.1034
encrypt_out,0.1845
decode_in,0.1859
decrypt_in,0.0991
encrypt_out,0.1836
decode_in,0.1847
decrypt_in,0.1018
encrypt_out,0.1813
decode_in,0.1825
fog_preprocessing,6.4386
decrypt_in,0.0995
encrypt_out,0.2081
decode_in,0.2092
verify_in,0.2679
decompress_in,0.8350
decrypt_in,0.0989
decompress_in,0.8194
decrypt_in,0.0994
decompress_in,0.8536
decrypt_in,0.1007
integrity_out,0.0106
decompress_in,0.8585
decrypt_in,0.1001
fog_preprocessing,5.8602
verify_in,0.2731
decompress_in,0.8549
verify_in,0.2668
decompress_in,0.8651
verify_in,0.2653
decompress_in,0.7988
compress_out,0.0174
decrypt_in,0.0181
verify_in,0.2659
decompress_in,0.8213
integrity_out,0.0090
fog_preprocessing,5.8576
verify_in,0.2679
fog_preprocessing,5.8287
verify_in,0.2671
fog_preprocessing,5.8338
verify_in,0.2675
encrypt_out,0.0131
decode_in,0.0137
fog_preprocessing,5.8380
verify_in,0.2680
compress_out,0.0180
decrypt_in,0.0209
integrity_out,0.0097
fog_preprocessing,5.8285
integrity_out,0.0108
fog_preprocessing,5.8403
integrity_out,0.0103
fog_preprocessing,5.8197
encode_out,0.0306
integrity_out,0.0088
encrypt_out,0.0395
decode_in,0.0407
decrypt_in,0.0243
decompress_in,0.0301
verify_in,0.0078
fog_preprocessing,5.8554
encrypt_out,0.0107
decode_in,0.0113
compress_out,0.0158
decrypt_in,0.0163
integrity_out,0.0241
compress_out,0.0155
decrypt_in,0.0160
integrity_out,0.0090
compress_out,0.0158
decrypt_in,0.0163
integrity_out,0.0092
compress_out,0.0180
decrypt_in,0.0186
integrity_out,0.0087
encode_out,0.0266
encrypt_out,0.0094
decode_in,0.0101
compress_out,0.0153
decrypt_in,0.0159
encrypt_out,0.0097
decode_in,0.0104
compress_out,0.0141
decrypt_in,0.0147
encrypt_out,0.0102
decode_in,0.0107
compress_out,0.0300
decrypt_in,0.0307
encrypt_out,0.0097
decode_in,0.0102
compress_out,0.0150
decrypt_in,0.0156
encode_out,0.0261
encrypt_out,0.0096
decode_in,0.0102
encode_out,0.0265
encrypt_out,0.0095
decode_in,0.0101
encode_out,0.0263
encrypt_out,0.0108
decode_in,0.0115
encode_out,0.0260
encrypt_out,0.0093
decode_in,0.0099
encode_out,0.0262
encode_out,0.0270
encode_out,0.0256
encode_out,0.0257
cloud_inference,6.5365
encrypt_out,0.0366
decode_in,0.0375
encrypt_out,0.0291
decode_in,0.0297
encrypt_out,0.0267
decode_in,0.0273
encrypt_out,0.0265
decode_in,0.0272
encrypt_out,0.0272
decode_in,0.0279
encrypt_out,0.0258
decode_in,0.0264
encrypt_out,0.0260
decode_in,0.0267
encrypt_out,0.0256
decode_in,0.0263
encrypt_out,0.0249
decode_in,0.0258
decrypt_in,0.0123
decrypt_in,0.0081
decrypt_in,0.0083
decrypt_in,0.0084
decrypt_in,0.0081
decrypt_in,0.0086
decrypt_in,0.0081
decrypt_in,0.0084
decrypt_in,0.0079
decompress_in,0.0353
decompress_in,0.0167
decompress_in,0.0163
decompress_in,0.0161
decompress_in,0.0160
decompress_in,0.0159
decompress_in,0.0161
decompress_in,0.0163
decompress_in,0.0160
verify_in,0.0077
verify_in,0.0076
verify_in,0.0072
verify_in,0.0074
verify_in,0.0081
verify_in,0.0087
verify_in,0.0086
verify_in,0.0085
verify_in,0.0084
cloud_inference,2.6107
cloud_inference,2.6652
cloud_inference,2.6079
cloud_inference,2.6823
cloud_inference,2.9118
cloud_inference,3.4176
cloud_inference,2.6902
cloud_inference,4.3015
cloud_inference,3.0580
