task,duration_seconds
edge_acquisition,0.5611
edge_acquisition,0.5816
edge_acquisition,0.5820
edge_acquisition,0.5960
edge_acquisition,0.5481
edge_acquisition,0.5407
edge_acquisition,0.5344
edge_acquisition,0.5502
integrity_out,0.3222
integrity_out,0.3405
edge_acquisition,0.5267
edge_acquisition,0.5446
integrity_out,0.3773
integrity_out,0.3769
integrity_out,0.3255
integrity_out,0.3067
integrity_out,0.3204
integrity_out,0.3210
compress_out,0.4855
decrypt_in,0.4871
compress_out,0.4520
decrypt_in,0.4532
integrity_out,0.2983
integrity_out,0.2982
compress_out,0.4453
decrypt_in,0.4469
compress_out,0.4504
decrypt_in,0.4514
compress_out,0.4560
decrypt_in,0.4569
compress_out,0.4494
decrypt_in,0.4500
encrypt_out,0.1249
decode_in,0.1263
encrypt_out,0.1178
decode_in,0.1184
compress_out,0.4725
decrypt_in,0.4734
compress_out,0.4483
decrypt_in,0.4489
encrypt_out,0.1128
decode_in,0.1145
encrypt_out,0.1113
decode_in,0.1121
compress_out,0.4493
decrypt_in,0.4507
compress_out,0.4480
decrypt_in,0.4491
encrypt_out,0.0965
decode_in,0.0973
encrypt_out,0.0919
decode_in,0.0927
encrypt_out,0.0910
decode_in,0.0922
encrypt_out,0.0893
decode_in,0.0900
encode_out,0.2444
encode_out,0.2502
encrypt_out,0.1106
decode_in,0.1120
encrypt_out,0.1202
decode_in,0.1209
encode_out,0.2711
encode_out,0.2702
encrypt_out,0.1877
decode_in,0.1886
encrypt_out,0.1857
decode_in,0.1864
decrypt_in,0.1146
decrypt_in,0.1133
encrypt_out,0.1798
decode_in,0.1805
encrypt_out,0.1787
decode_in,0.1792
encode_out,0.2576
encode_out,0.2635
encode_out,0.2438
encode_out,0.2491
decrypt_in,0.1333
decrypt_in,0.1379
encode_out,0.2380
encode_out,0.2422
encrypt_out,0.1767
decode_in,0.1781
encrypt_out,0.1799
decode_in,0.1805
encrypt_out,0.1687
decode_in,0.1695
encrypt_out,0.1788
decode_in,0.1793
decompress_in,0.6048
decompress_in,0.6681
encrypt_out,0.1754
decode_in,0.1768
encrypt_out,0.1722
decode_in,0.1734
decrypt_in,0.0966
decrypt_in,0.0940
decrypt_in,0.0937
decrypt_in,0.0923
decompress_in,0.5787
decompress_in,0.5802
decrypt_in,0.0993
decrypt_in,0.0997
verify_in,0.2977
verify_in,0.3005
decompress_in,0.6151
decompress_in,0.6122
decompress_in,0.6020
decompress_in,0.5663
verify_in,0.3059
verify_in,0.3156
decompress_in,0.7326
decompress_in,0.8977
verify_in,0.3245
verify_in,0.3091
verify_in,0.3029
verify_in,0.2760
fog_preprocessing,6.6766
fog_preprocessing,6.7830
verify_in,0.2932
verify_in,0.3082
fog_preprocessing,6.5577
fog_preprocessing,6.6592
fog_preprocessing,5.9664
integrity_out,0.0087
integrity_out,0.0105
fog_preprocessing,5.9245
fog_preprocessing,5.9397
integrity_out,0.0183
integrity_out,0.0088
integrity_out,0.0136
fog_preprocessing,5.9915
compress_out,0.0213
decrypt_in,0.0220
compress_out,0.0220
decrypt_in,0.0227
integrity_out,0.0101
integrity_out,0.0096
compress_out,0.0139
decrypt_in,0.0144
compress_out,0.0141
decrypt_in,0.0149
compress_out,0.0136
decrypt_in,0.0142
integrity_out,0.0095
encrypt_out,0.0093
decode_in,0.0098
encrypt_out,0.0094
decode_in,0.0098
compress_out,0.0142
decrypt_in,0.0147
compress_out,0.0132
decrypt_in,0.0137
encrypt_out,0.0087
decode_in,0.0092
encrypt_out,0.0085
decode_in,0.0090
encrypt_out,0.0088
decode_in,0.0095
compress_out,0.0138
decrypt_in,0.0143
encode_out,0.0205
encrypt_out,0.0086
decode_in,0.0091
encode_out,0.0208
encrypt_out,0.0085
decode_in,0.0090
encode_out,0.0200
encode_out,0.0197
encrypt_out,0.0375
decode_in,0.0381
encrypt_out,0.0087
encode_out,0.0188
decode_in,0.0092
encrypt_out,0.0491
decode_in,0.0496
encrypt_out,0.0308
decode_in,0.0315
encode_out,0.0194
encode_out,0.0226
decrypt_in,0.0282
encrypt_out,0.0345
decode_in,0.0351
decrypt_in,0.0161
encrypt_out,0.0301
decrypt_in,0.0264
decode_in,0.0308
encrypt_out,0.0273
decode_in,0.0281
encrypt_out,0.0277
decode_in,0.0282
decrypt_in,0.0263
decompress_in,0.0300
decompress_in,0.0273
decrypt_in,0.0132
encrypt_out,0.0304
decode_in,0.0309
decompress_in,0.0290
decrypt_in,0.0133
decrypt_in,0.0275
verify_in,0.0094
verify_in,0.0095
decrypt_in,0.0130
verify_in,0.0087
decompress_in,0.0280
decompress_in,0.0230
decompress_in,0.0586
decompress_in,0.1783
decompress_in,0.0549
verify_in,0.0102
verify_in,0.0109
verify_in,0.0092
verify_in,0.0088
verify_in,0.0105
fog_preprocessing,5.9376
integrity_out,0.0146
compress_out,0.0233
decrypt_in,0.0240
encrypt_out,0.0157
decode_in,0.0165
fog_preprocessing,5.9446
integrity_out,0.0126
encode_out,0.0277
compress_out,0.0185
decrypt_in,0.0191
encrypt_out,0.0216
decode_in,0.0223
encode_out,0.0209
cloud_inference,13.3321
cloud_inference,13.2493
cloud_inference,13.4027
cloud_inference,13.5056
cloud_inference,9.3507
encrypt_out,0.0311
decode_in,0.0320
encrypt_out,0.0309
decode_in,0.0316
cloud_inference,9.5136
decrypt_in,0.0138
decrypt_in,0.0141
decompress_in,0.0215
verify_in,0.0086
decompress_in,0.0282
verify_in,0.0096
cloud_inference,9.6416
cloud_inference,9.4835
cloud_inference,6.1439
cloud_inference,6.1801
