stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.532859,0.066607,475.746336,59.468292
1,stage1,output,0,hash_calculate,SHA256,8,0.542395,0.067799,142.458249,17.807281
1,stage1,output,1,compress,ZLIB,8,0.573893,0.071737,132.835162,16.604395
1,stage1,combined,-1,combined,,24,1.649148,0.068714,751.039747,31.293323
2,stage2,input,0,uncompress,ZLIB,8,0.577198,0.072150,132.632957,16.579120
2,stage2,input,1,hash_verify,SHA256,8,0.584418,0.073052,142.458249,17.807281
2,stage2,application,0,application,,8,0.581400,0.072675,195.489876,24.436235
2,stage2,output,0,encrypt,RS,8,0.605718,0.075715,151.606307,18.950788
2,stage2,output,1,hash_calculate,BLAKE3,8,0.582452,0.072806,151.312914,18.914114
2,stage2,combined,-1,combined,,40,2.931186,0.073280,773.500303,19.337508
3,stage3,input,0,hash_verify,BLAKE3,8,0.568158,0.071020,151.312939,18.914117
3,stage3,input,1,unencrypt,RS,8,0.581717,0.072715,151.606307,18.950788
3,stage3,application,0,application,,8,0.618469,0.077309,248.320284,31.040036
3,stage3,output,0,compress,LZ4,8,0.676929,0.084616,132.632980,16.579123
3,stage3,output,1,encrypt,RS,8,0.678436,0.084805,132.632944,16.579118
3,stage3,output,2,hash_calculate,SHA3_256,8,0.684431,0.085554,132.632969,16.579121
3,stage3,combined,-1,combined,,48,3.808140,0.079336,949.138423,19.773717
4,stage4,input,0,hash_verify,SHA3_256,8,0.711090,0.088886,132.632969,16.579121
4,stage4,input,1,unencrypt,RS,8,0.669737,0.083717,132.632969,16.579121
4,stage4,input,2,uncompress,LZ4,8,0.664935,0.083117,132.632944,16.579118
4,stage4,application,0,application,,8,0.623629,0.077954,274.536908,34.317114
4,stage4,output,0,hash_calculate,SHA256,8,0.569973,0.071247,134.567616,16.820952
4,stage4,combined,-1,combined,,40,3.239362,0.080984,807.003405,20.175085
