stage,stage_name,pipeline,task_index,task_name,algorithm,jobs,wall_seconds,avg_wall_seconds,simulated_seconds,avg_simulated_seconds
1,stage1,application,0,application,,8,0.525518,0.065690,395.864251,49.483031
1,stage1,output,0,hash_calculate,SHA256,8,0.549911,0.068739,133.634623,16.704328
1,stage1,output,1,compress,ZLIB,8,0.573759,0.071720,133.634626,16.704328
1,stage1,combined,-1,combined,,24,1.649189,0.068716,663.133500,27.630562
2,stage2,input,0,uncompress,ZLIB,8,0.583860,0.072983,133.634628,16.704329
2,stage2,input,1,hash_verify,SHA256,8,0.612337,0.076542,133.634623,16.704328
2,stage2,application,0,application,,8,0.623615,0.077952,149.345765,18.668221
2,stage2,output,0,encrypt,RS,8,0.629578,0.078697,133.634627,16.704328
2,stage2,output,1,hash_calculate,BLAKE3,8,0.610836,0.076355,133.634640,16.704330
2,stage2,combined,-1,combined,,40,3.060227,0.076506,683.884283,17.097107
3,stage3,input,0,hash_verify,BLAKE3,8,0.589126,0.073641,133.634611,16.704326
3,stage3,input,1,unencrypt,RS,8,0.580450,0.072556,133.634627,16.704328
3,stage3,application,0,application,,8,0.577324,0.072165,182.721397,22.840175
3,stage3,output,0,compress,LZ4,8,0.624376,0.078047,133.634614,16.704327
3,stage3,output,1,encrypt,RS,8,0.649608,0.081201,133.634645,16.704331
3,stage3,output,2,hash_calculate,SHA3_256,8,0.657552,0.082194,133.634640,16.704330
3,stage3,combined,-1,combined,,48,3.678436,0.076634,850.894535,17.726969
4,stage4,input,0,hash_verify,SHA3_256,8,0.633173,0.079147,133.634640,16.704330
4,stage4,input,1,unencrypt,RS,8,0.647074,0.080884,133.634640,16.704330
4,stage4,input,2,uncompress,LZ4,8,0.619019,0.077377,133.634640,16.704330
4,stage4,application,0,application,,8,0.593923,0.074240,201.662050,25.207756
4,stage4,output,0,hash_calculate,SHA256,8,0.565721,0.070715,133.634640,16.704330
4,stage4,combined,-1,combined,,40,3.058910,0.076473,736.200609,18.405015
